pos;name;pais;num;edad
Portero;Luca Zidane;Argelia;1;13/05/1998
Portero;Ander Astralaga;España;13;03/03/2004
Defensa central;Loïc Williams;España;24;07/01/2002
Defensa central;Bambo Diaby;España;17;17/12/1997
Defensa central;Oscar Naasei;Ghana;28;24/02/2005
Defensa central;Manu Lama;España;5;12/02/2001
Lateral izquierdo;Baïla Diallo;Senegal;22;24/06/2001
Lateral izquierdo;Diego Hormigo;España;3;16/04/2003
Lateral derecho;Álvaro Lemos;España;18;30/03/1993
Lateral derecho;Pau Casadesús;España;2;30/10/2003
Mediocentro;Sergio Ruiz ;España;20;16/12/1994
Mediocentro;Pedro Alemañ;España;8;21/03/2002
Mediocentro;Luka Gagnidze;Georgia;23;28/02/2003
Mediocentro;Rubén Alcaraz ;España;4;01/05/1991
Mediocentro;Manu Trigueros;España;14;17/10/1991
Mediocentro;Izan González;España;41;05/11/2004
Extremo izquierdo;José Manuel Arnáiz;España;11;15/04/1995
Extremo izquierdo;Sergio Rodelas;España;26;01/12/2004
Extremo derecho;Álex Sola;España;7;09/06/1999
Extremo derecho;Pablo Sáenz;España;21;22/05/2001
Extremo derecho;Baba Diocou;España;40;10/06/2005
Delantero centro;Gonzalo Petit;Uruguay;9;21/09/2006
Delantero centro;Jorge Pascual;España;19;09/04/2003
Delantero centro;Mohamed Bouldini;Marruecos;10;27/11/1995
