pos;name;pais;num;edad
Portero;Alfonso Herrero ;España;1;21/04/1994
Portero;Carlos López;España;13;13/11/2004
Defensa central;Javi Montero;España;20;14/01/1999
Defensa central;Diego Murillo;España;16;14/03/2001
Defensa central;Einar Galilea ;España;4;22/05/1994
Defensa central;Álex Pastor ;España;-;01/10/1999
Defensa central;Ángel Recio;España;36;05/01/2003
Defensa central;Moussa Diarra;Malí;15;20/01/2002
Lateral izquierdo;Dani Sánchez;España;18;14/01/2000
Lateral izquierdo;Víctor García;España;14;31/05/1994
Lateral derecho;Jokin Gabilondo;España;2;09/04/1999
Lateral derecho;Carlos Puga;España;3;26/11/2000
Lateral derecho;Rafita Garrido;España;31;09/11/2004
Pivote;Luismi Sánchez ;España;19;05/05/1992
Mediocentro;Carlos Dotor;España;12;15/03/2001
Mediocentro;Izan Merino;España;23;15/04/2006
Mediocentro;Darko Brasanac;Serbia;5;12/02/1992
Mediocentro;Ramón Enríquez ;España;6;19/04/2001
Mediocentro;Juanpe;España;8;31/03/1996
Mediocentro ofensivo;Rafa Rodríguez;España;37;10/07/2003
Mediocentro ofensivo;Dani Lorenzo;España;22;05/04/2003
Mediocentro ofensivo;Aarón Ochoa;Irlanda;35;18/04/2007
Extremo izquierdo;Julen Lobete;España;24;18/09/2000
Extremo izquierdo;Joaquín Muñoz;España;11;10/03/1999
Extremo derecho;David Larrubia;España;10;20/04/2002
Extremo derecho;Josué Dorrio;España;25;03/03/1994
Extremo derecho;Haitam Abaida;Marruecos;7;01/06/2002
Delantero centro;Chupe;España;9;24/08/2004
Delantero centro;Adrián Niño;España;21;19/06/2004
Delantero centro;Eneko Jauregi;España;17;13/07/1996
