pos;name;pais;num;edad
Portero;Jokin Ezkieta;España;1;17/08/1996
Portero;Simon Eriksson;Suecia;13;24/04/2006
Defensa central;Facundo González;Uruguay;16;06/06/2003
Defensa central;Javi Castro;España;5;13/09/2000
Defensa central;Manu Hernando;España;4;19/07/1998
Defensa central;Pablo Ramón ;España;21;30/06/2001
Lateral izquierdo;Jorge Salinas;España;32;03/04/2007
Lateral izquierdo;Mario García;España;3;02/10/2003
Lateral derecho;Álvaro Mantilla;España;2;09/05/2000
Lateral derecho;Marco Sangalli;España;15;07/02/1992
Pivote;Damián Rodríguez;España;23;17/03/2003
Pivote;Maguette Gueye;Senegal;14;30/12/2002
Mediocentro;Gustavo Puerta;Colombia;19;23/07/2003
Mediocentro;Aritz Aldasoro;España;8;05/06/1999
Mediocentro;Íñigo Sainz-Maza ;España;6;16/06/1998
Mediocentro;Sergio Martínez;España;36;15/05/2007
Mediocentro ofensivo;Peio Canales;España;18;17/01/2005
Extremo izquierdo;Iñigo Vicente;España;10;06/01/1998
Extremo derecho;Andrés Martín;España;11;11/07/1999
Extremo derecho;Suleiman Camara;Gambia;20;07/12/2001
Delantero centro;Asier Villalibre ;España;12;30/09/1997
Delantero centro;Juan Carlos Arana ;España;9;08/02/2000
Delantero centro;Giorgi Guliashvili;Georgia;7;05/09/2001
Delantero centro;Jaime Mata;España;17;24/10/1988
Delantero centro;Manex Lozano ;España;27;23/02/2007
