pos;name;pais;num;edad
Portero;Esteban Andrada;Argentina;1;26/01/1991
Portero;Adrián Rodríguez;Argentina;13;12/12/2000
Defensa central;Jawad El Yamiq;Marruecos;18;29/02/1992
Defensa central;Pablo Insua;España;4;09/09/1993
Defensa central;Tachi;España;5;10/09/1997
Defensa central;Yussif Saidu;Ghana;33;14/06/2005
Defensa central;Aleksandar Radovanovic;Serbia;16;11/11/1993
Defensa central;Ale Gomes;España;36;14/02/2008
Lateral izquierdo;Juan Larios;España;27;12/01/2004
Lateral izquierdo;Dani Tasende;España;3;06/07/2000
Lateral izquierdo;Carlos Pomares;España;15;05/12/1992
Lateral derecho;Martín Aguirregabiria;España;20;10/05/1996
Lateral derecho;Juan Sebastián;España;2;07/02/2002
Pivote;Paul Akouokou;Costa de Marfil;24;20/12/1997
Mediocentro;Francho Serrano ;España;14;17/10/2001
Mediocentro;Keidi Bare;Albania;6;28/08/1997
Mediocentro;Raúl Guti;España;10;30/12/1996
Mediocentro;Toni Moya;España;8;20/03/1998
Mediocentro;Mawuli Mensah;Ghana;26;15/11/2003
Extremo izquierdo;Sebas Moyano;España;17;23/03/1997
Extremo derecho;Nikola Cumic;Serbia;25;20/11/1998
Extremo derecho;Paulino de la Fuente ;España;-;27/06/1997
Extremo derecho;Valery Fernández;España;21;23/11/1999
Extremo derecho;Rober González;España;11;08/01/2001
Delantero centro;Mario Soberón;España;7;18/05/1997
Delantero centro;Dani Gómez;España;9;30/07/1998
Delantero centro;Willy Agada;Nigeria;22;17/09/1999
Delantero centro;Kenan Kodro;Bosnia y Herzegovina;19;19/08/1993
Delantero centro;Sinan Bakış;Turquía;12;22/04/1994
Delantero centro;Marcos Cuenca;España;23;07/11/2002
