pos;name;pais;num;edad
Portero;Aitor Fraga;España;1;09/03/2003
Portero;Egoitz Arana;España;13;19/02/2002
Defensa central;Luken Beitia;España;4;30/06/2004
Defensa central;Kazunari Kita;Japón;15;16/09/2005
Defensa central;Eneko Astigarraga;España;27;08/01/2004
Lateral izquierdo;Jon Balda;España;3;20/04/2002
Lateral izquierdo;Unax Agote;España;23;28/03/2003
Lateral derecho;Iñaki Rupérez;España;2;07/01/2003
Lateral derecho;Alberto Dadie;España;22;20/07/2002
Lateral derecho;Jon Garro;España;29;10/06/2005
Mediocentro;Mikel Rodriguez;España;8;03/04/2002
Mediocentro;Gorka Gorosabel;España;16;13/05/2006
Mediocentro;Alex Lebarbier;Francia;6;23/08/2004
Mediocentro;Tomy Carbonell;España;14;23/02/2005
Mediocentro;Jon Eceizabarrena;España;21;23/03/2005
Mediocentro;Ibai Aguirre;España;31;10/01/2007
Extremo izquierdo;Arkaitz Mariezkurrena;España;10;05/04/2005
Extremo izquierdo;Alex Marchal;España;19;17/09/2007
Extremo izquierdo;Darío Ramírez;España;26;14/01/2005
Extremo derecho;Lander Astiazaran;España;17;07/04/2006
Extremo derecho;Dani Díaz;España;7;22/06/2006
Extremo derecho;Job Ochieng;Kenia;11;17/01/2003
Delantero centro;Gorka Carrera;España;18;15/05/2005
Delantero centro;Ekain Orobengoa ;España;9;17/06/2004
