pos;name;pais;num;edad
Portero;Guilherme Fernandes;Portugal;13;28/03/2001
Portero;Álvaro Aceves;España;1;26/07/2003
Defensa central;David Torres;España;4;05/03/2003
Defensa central;Pablo Tomeo;España;15;23/01/2000
Defensa central;Ramón Martínez;España;5;22/10/2002
Defensa central;Mohamed Jaouab;Marruecos;23;14/05/2002
Lateral izquierdo;Guille Bueno ;España;3;18/09/2002
Lateral izquierdo;Carlos Clerc;España;18;21/02/1992
Lateral izquierdo;Iván Garriel;España;27;03/04/2005
Lateral izquierdo;Hugo San Modesto;España;30;24/10/2005
Lateral derecho;Clément Michelin;Francia;2;11/05/1997
Lateral derecho;Iván Alejo;España;14;10/02/1995
Pivote;Stanko Juric;Croacia;24;16/08/1996
Pivote;Mathis Lachuer;Francia;6;31/08/2000
Mediocentro;Víctor Meseguer;España;8;09/06/1999
Mediocentro;Ibrahim Alani;Nigeria;12;29/07/2006
Mediocentro;Mario Maroto;España;16;28/11/2003
Mediocentro ofensivo;Chuki;España;20;29/04/2004
Mediocentro ofensivo;Julien Ponceau;Francia;21;28/11/2000
Extremo izquierdo;Stipe Biuk;Croacia;17;26/12/2002
Extremo izquierdo;Sergi Canós;España;7;02/02/1997
Extremo derecho;Peter Federico;República Dominicana;22;25/07/2002
Extremo derecho;Lucas Sanseviero;Uruguay;19;05/08/2000
Extremo derecho;Amath Ndiaye ;Senegal;11;16/07/1996
Delantero centro;Juanmi Latasa;España;9;23/03/2001
Delantero centro;Vegard Erlien;Noruega;25;24/06/1998
Delantero centro;Noah Ohio;Países Bajos;39;16/01/2003
Delantero centro;Marcos André;Brasil;10;20/10/1996
