pos;name;pais;num;edad
Portero;Jonmi Magunagoitia;España;13;06/08/2000
Portero;Luis López;España;1;08/05/2001
Defensa central;Marco Moreno;España;21;20/02/2001
Defensa central;Aritz Arambarri;España;4;31/01/1998
Defensa central;Jair Amador;Portugal;15;21/08/1989
Defensa central;Anaitz Arbilla ;España;23;15/05/1987
Lateral izquierdo;Juan Bernat;España;24;01/03/1993
Lateral izquierdo;Hodei Arrillaga;España;3;21/05/2004
Lateral derecho;Sergio Cubero;España;2;05/09/1999
Lateral derecho;Álvaro Rodríguez;España;22;22/07/1994
Pivote;Peru Nolaskoain;España;8;25/10/1998
Pivote;Sergio Álvarez;España;6;23/01/1992
Mediocentro;Aleix Garrido;España;30;22/02/2004
Mediocentro;Lander Olaetxea;España;14;12/04/1993
Mediocentro;Ander Madariaga;España;16;11/03/2002
Mediocentro ofensivo;Jon Magunazelaia;España;11;13/07/2001
Mediocentro ofensivo;Javi Martínez;España;5;22/12/1999
Extremo izquierdo;Toni Villa;España;19;07/01/1995
Extremo derecho;Adu Ares;España;18;12/10/2001
Extremo derecho;Jon Guruzeta;España;10;03/04/2000
Extremo derecho;José Corpas;España;17;07/07/1991
Delantero centro;Jon Bautista;España;9;03/07/1995
Delantero centro;Javi Martón;España;20;06/05/1999
