pos;name;pais;num;edad
Portero;Juan Pérez;España;1;15/07/1996
Portero;Dani Martín;España;30;26/09/2005
Portero;Dani Jiménez;España;13;05/03/1990
Defensa central;Joaquín Fernández;España;12;31/05/1996
Defensa central;Álvaro Carrillo;España;4;06/04/2002
Defensa central;Jorge Pulido ;España;14;08/04/1991
Defensa central;Piña;España;5;30/10/1994
Lateral izquierdo;Jordi Martín;España;8;05/01/2001
Lateral izquierdo;Julio Alonso;España;17;14/12/1998
Lateral izquierdo;Ro Abajas;España;3;12/05/2003
Lateral derecho;Toni Abad;España;2;03/11/1996
Mediocentro;Jaime Seoane;España;10;22/01/1997
Mediocentro;Jesús Álvarez;España;16;17/11/1999
Mediocentro;Javi Mier;España;6;04/02/1999
Mediocentro;Óscar Sielva;España;23;06/08/1991
Mediocentro;Michael Agbekpornu;Ghana;22;31/08/1998
Mediocentro ofensivo;Daniel Luna;Colombia;33;07/05/2003
Mediocentro ofensivo;Francisco Portillo;España;20;13/06/1990
Extremo izquierdo;Dani Ojeda;España;21;03/12/1994
Extremo izquierdo;Efe Aghama;Nigeria;24;11/06/2004
Extremo izquierdo;Álex Cantero;España;15;08/06/2000
Extremo izquierdo;Liberto Beltrán;España;11;26/12/1996
Extremo derecho;Ignacio Laquintana;Uruguay;19;01/02/1999
Delantero centro;Enol Rodríguez;España;18;28/07/2001
Delantero centro;Diego Aznar ;España;31;20/09/2003
Delantero centro;Jordi Escobar;España;7;10/02/2002
Delantero centro;Sergi Enrich;España;9;26/02/1990
