pos;name;pais;num;edad
Portero;Rubén Yáñez ;España;1;12/10/1993
Portero;Christian Joel;Cuba;13;09/07/1999
Defensa central;Lucas Perrin;Francia;4;19/11/1998
Defensa central;Diego Sánchez;España;5;18/07/2003
Defensa central;Andrés Cuenca ;España;44;11/06/2007
Defensa central;Eric Curbelo;España;23;14/01/1994
Defensa central;Pablo Vázquez;España;15;07/10/1994
Lateral izquierdo;Brian Oliván;España;12;01/04/1994
Lateral izquierdo;Pablo García;España;3;05/06/2000
Lateral derecho;Guille Rosas;España;2;17/05/2000
Lateral derecho;Kevin Vázquez;España;20;23/03/1993
Pivote;Mamadou Loum;Senegal;21;30/12/1996
Mediocentro;Nacho Martín;España;6;19/03/2002
Mediocentro;Àlex Corredera;España;14;19/03/1996
Mediocentro;Jesús Bernal;España;8;25/12/1996
Mediocentro;Justin Smith;Canadá;24;04/02/2003
Mediocentro;Manu Rodríguez;España;36;16/11/2005
Mediocentro ofensivo;César Gelabert;España;10;31/10/2000
Extremo izquierdo;Jonathan Dubasin;España;17;02/02/2000
Extremo izquierdo;Gaspar Campos;España;7;27/03/2000
Extremo izquierdo;Dani Queipo;España;11;22/05/2002
Extremo derecho;Juan Otero;Colombia;19;26/05/1995
Mediapunta;Enol Prendes;España;32;31/05/2004
Delantero centro;Andrés Ferrari;Uruguay;9;03/01/2003
Delantero centro;Amadou Coundoul;Senegal;18;19/05/2002
