pos;name;pais;num;edad
Portero;Fernando Martínez ;España;13;10/06/1990
Portero;Bruno Iribarne;España;31;18/08/2004
Portero;Andrés Fernández;España;1;16/12/1986
Defensa central;Federico Bonini;Italia;18;06/08/2001
Defensa central;Rodrigo Ely;Brasil;5;03/11/1993
Defensa central;Chumi;España;21;02/03/1999
Defensa central;Nélson Monte;Portugal;4;20/07/1995
Defensa central;Pedro Fidel;España;32;18/06/2007
Lateral izquierdo;Álex Muñoz;España;3;30/07/1994
Lateral izquierdo;Álex Centelles;España;20;30/08/1999
Lateral derecho;Daijiro Chirino;Países Bajos;22;24/01/2002
Lateral derecho;Marcos Luna;España;16;05/04/2003
Pivote;Dion Lopy;Senegal;17;02/02/2002
Mediocentro;André Horta;Portugal;6;07/11/1996
Mediocentro;Arnau Puigmal;España;2;10/01/2001
Mediocentro;Iddrisu Baba;Ghana;14;22/01/1996
Mediocentro;Stefan Dzodic;Serbia;29;15/03/2005
Mediocentro;Gui Guedes;Portugal;8;17/04/2002
Mediocentro ofensivo;Sergio Arribas;España;11;30/09/2001
Mediocentro ofensivo;Nico Melamed;España;10;11/04/2001
Extremo izquierdo;Jon Morcillo;España;7;15/09/1998
Extremo derecho;Patrick Soko;Camerún;19;31/10/1997
Extremo derecho;Adrián Embarba;España;23;07/05/1992
Extremo derecho;Léo Baptistão;Brasil;12;26/08/1992
Delantero centro;Thalys;Brasil;9;22/02/2005
Delantero centro;Miguel de la Fuente;España;24;03/09/1999
Delantero centro;Ibrahima Koné;Malí;-;16/06/1999
