pos;name;pais;num;edad
Portero;Dinko Horkas;Croacia;1;10/03/1999
Portero;José Antonio Caro;España;13;03/05/1994
Portero;Adri Suárez;España;35;28/05/2005
Defensa central;Mika Mármol;España;3;02/07/2001
Defensa central;Sergio Barcia;España;6;31/12/2000
Defensa central;Juanma Herzog;España;15;13/05/2004
Defensa central;Enrique Clemente;España;5;04/03/1999
Defensa central;Álex Suárez;España;4;18/03/1993
Lateral izquierdo;Cristian Gutiérrez;España;23;30/11/2000
Lateral derecho;Viti Rozada;España;17;16/09/1997
Lateral derecho;Marvin Park;España;2;03/07/2000
Pivote;Lorenzo Amatucci;Italia;16;05/02/2004
Mediocentro;Enzo Loiodice;Francia;12;27/11/2000
Mediocentro;Iñaki González;España;26;27/07/2004
Mediocentro ofensivo;Nicolás Benedetti;Colombia;7;25/04/1997
Mediocentro ofensivo;Kirian Rodríguez ;España;20;05/03/1996
Mediocentro ofensivo;Iván Gil;España;8;18/01/2000
Mediocentro ofensivo;Jonathan Viera;España;21;21/10/1989
Extremo izquierdo;Jeremía Recoba ;Uruguay;9;08/10/2003
Extremo izquierdo;Estanis Pedrola;España;39;24/08/2003
Extremo izquierdo;Jesé;España;10;26/02/1993
Extremo derecho;Manu Fuster;España;14;22/10/1997
Extremo derecho;Ale García;España;22;19/03/2003
Extremo derecho;Pejiño;España;24;29/07/1996
Delantero centro;Iker Bravo;España;49;13/01/2005
Delantero centro;Taisei Miyashiro;Japón;18;26/05/2000
Delantero centro;Sandro Ramírez;España;19;09/07/1995
