pos;name;pais1;pais2;num;edad;team_name
Portero;Lucas Chevalier;Francia;;30;06/11/2001;fc_paris_saint_germain
Portero;Matvey Safonov;Rusia;;39;25/02/1999;fc_paris_saint_germain
Portero;Renato Marin;Italia;Brasil;89;10/07/2006;fc_paris_saint_germain
Defensa central;Willian Pacho;Ecuador;;51;16/10/2001;fc_paris_saint_germain
Defensa central;Ilya Zabarnyi;Ucrania;;6;01/09/2002;fc_paris_saint_germain
Defensa central;Marquinhos;Brasil;Portugal;5;14/05/1994;fc_paris_saint_germain
Defensa central;Lucas Beraldo;Brasil;;4;24/11/2003;fc_paris_saint_germain
Lateral izquierdo;Nuno Mendes;Portugal;;25;19/06/2002;fc_paris_saint_germain
Lateral izquierdo;Lucas Hernández;Francia;España;21;14/02/1996;fc_paris_saint_germain
Lateral derecho;Achraf Hakimi;Marruecos;España;2;04/11/1998;fc_paris_saint_germain
Pivote;Vitinha;Portugal;;17;13/02/2000;fc_paris_saint_germain
Mediocentro;João Neves;Portugal;;87;27/09/2004;fc_paris_saint_germain
Mediocentro;Warren Zaïre-Emery;Francia;Martinica;33;08/03/2006;fc_paris_saint_germain
Mediocentro;Fabián Ruiz;España;;8;03/04/1996;fc_paris_saint_germain
Mediocentro;Senny Mayulu;Francia;RD del Congo;24;17/05/2006;fc_paris_saint_germain
Mediocentro ofensivo;Kang-in Lee;Corea del Sur;;19;19/02/2001;fc_paris_saint_germain
Mediocentro ofensivo;Dro Fernández;España;Filipinas;27;12/01/2008;fc_paris_saint_germain
Extremo izquierdo;Khvicha Kvaratskhelia;Georgia;;7;12/02/2001;fc_paris_saint_germain
Extremo izquierdo;Bradley Barcola;Francia;Togo;29;02/09/2002;fc_paris_saint_germain
Extremo izquierdo;Quentin Ndjantou;Francia;Camerún;47;23/07/2007;fc_paris_saint_germain
Extremo derecho;Désiré Doué;Francia;Costa de Marfil;14;03/06/2005;fc_paris_saint_germain
Extremo derecho;Ibrahim Mbaye;Senegal;Francia;49;24/01/2008;fc_paris_saint_germain
Delantero centro;Ousmane Dembélé;Francia;;10;15/05/1997;fc_paris_saint_germain
Delantero centro;Gonçalo Ramos;Portugal;;9;20/06/2001;fc_paris_saint_germain
Portero;Philipp Köhn;Suiza;Alemania;16;02/04/1998;as_monaco
Portero;Lukas Hradecky;Finlandia;Eslovaquia;1;24/11/1989;as_monaco
Portero;Jules Stawiecki;Francia;Polonia;40;10/04/2007;as_monaco
Portero;Yann Lienard;Francia;;50;16/03/2003;as_monaco
Defensa central;Thilo Kehrer;Alemania;Burundi;5;21/09/1996;as_monaco
Defensa central;Christian Mawissa;Francia;RD del Congo;13;18/04/2005;as_monaco
Defensa central;Mohammed Salisu;Ghana;;22;17/04/1999;as_monaco
Defensa central;Wout Faes;Bélgica;;25;03/04/1998;as_monaco
Defensa central;Eric Dier;Inglaterra;Portugal;3;15/01/1994;as_monaco
Lateral izquierdo;Caio Henrique;Brasil;España;12;31/07/1997;as_monaco
Lateral izquierdo;Kassoum Ouattara;Francia;Costa de Marfil;20;14/10/2004;as_monaco
Lateral derecho;Vanderson;Brasil;;2;21/06/2001;as_monaco
Lateral derecho;Jordan Teze;Países Bajos;RD del Congo;4;30/09/1999;as_monaco
Pivote;Denis Zakaria;Suiza;RD del Congo;6;20/11/1996;as_monaco
Pivote;Aladji Bamba;Francia;Guinea;23;14/07/2006;as_monaco
Mediocentro;Lamine Camara;Senegal;;15;01/01/2004;as_monaco
Mediocentro;Mamadou Coulibaly;Francia;Malí;28;21/04/2004;as_monaco
Mediocentro;Paul Pogba;Francia;Guinea;8;15/03/1993;as_monaco
Interior derecho;Krépin Diatta;Senegal;;27;25/02/1999;as_monaco
Mediocentro ofensivo;Aleksandr Golovin;Rusia;;10;30/05/1996;as_monaco
Mediocentro ofensivo;Stanis Idumbo;Bélgica;RD del Congo;17;29/06/2005;as_monaco
Extremo izquierdo;Simon Adingra;Costa de Marfil;;24;01/01/2002;as_monaco
Extremo izquierdo;Ansu Fati;España;Guinea-Bissau;31;31/10/2002;as_monaco
Extremo izquierdo;Takumi Minamino;Japón;;18;16/01/1995;as_monaco
Extremo derecho;Maghnes Akliouche;Francia;Argelia;11;25/02/2002;as_monaco
Delantero centro;Folarin Balogun;Estados Unidos;Inglaterra;9;03/07/2001;as_monaco
Delantero centro;Mika Biereth;Dinamarca;Inglaterra;14;08/02/2003;as_monaco
Delantero centro;Paris Brunner;Alemania;RD del Congo;29;15/02/2006;as_monaco
