pos;name;pais;num;edad
Portero;Mory Diaw;Senegal;99;22/06/1993
Portero;Lionel Mpasi-Nzau;RD del Congo;77;01/08/1994
Portero;Paul Argney;Francia;50;23/05/2006
Defensa central;Arouna Sangante ;Senegal;93;12/04/2002
Defensa central;Gautier Lloris;Francia;4;18/07/1995
Defensa central;Étienne Youté Kinkoué;Francia;6;14/01/2002
Defensa central;Stephan Zagadou;Francia;29;24/10/2008
Lateral izquierdo;Yanis Zouaoui;Francia;18;28/04/1998
Lateral derecho;Fodé Doucouré;Malí;13;03/02/2001
Lateral derecho;Timothée Pembélé;Francia;32;09/09/2002
Lateral derecho;Loïc Nego ;Hungría;7;15/01/1991
Pivote;Lucas Gourna-Douath;Francia;19;05/08/2003
Pivote;Ayumu Seko;Japón;15;07/06/2000
Pivote;Abdoulaye Touré ;Guinea;94;03/03/1994
Pivote;Daren Mosengo;Francia;78;11/08/2006
Mediocentro;Yassine Kechta;Marruecos;8;25/02/2002
Mediocentro;Rassoul Ndiaye;Senegal;14;11/12/2001
Mediocentro;Simon Ebonog;Francia;26;16/08/2004
Mediocentro;Guy-Noël Zohouri;Costa de Marfil;24;01/02/2007
Mediocentro ofensivo;Sofiane Boufal;Marruecos;17;17/09/1993
Mediocentro ofensivo;Reda Khadra ;Alemania;30;04/07/2001
Extremo izquierdo;Issa Soumaré;Senegal;45;10/10/2000
Extremo izquierdo;Felix Mambimbi;Suiza;10;18/01/2001
Extremo derecho;Godson Kyeremeh;Francia;11;14/06/2000
Delantero centro;Ally Samatta;Tanzania;25;23/12/1992
Delantero centro;Noam Obougou;Francia;20;15/03/2006
Delantero centro;Kenny Quetant;Francia;33;17/07/2006
