pos;name;pais;num;edad
Portero;Donovan Léon;Guayana Francesa;16;03/11/1992
Portero;Théo De Percin;Francia;40;02/02/2001
Portero;Tom Negrel;Francia;30;13/04/2003
Portero;Louis Mezerette;Francia;37;30/08/2006
Defensa central;Clément Akpa;Costa de Marfil;92;24/11/2001
Defensa central;Sinaly Diomandé;Costa de Marfil;20;09/04/2001
Defensa central;Francisco Sierralta ;Chile;4;06/05/1997
Defensa central;Bryan Okoh;Suiza;24;16/05/2003
Defensa central;Telli Siwe;Francia;13;14/12/2004
Defensa central;Elikya Legros;Francia;35;06/06/2008
Defensa central;Alvin Petit Dol;Francia;38;07/11/2006
Lateral izquierdo;Gideon Mensah;Ghana;14;18/07/1998
Lateral izquierdo;Fredrik Oppegård;Noruega;22;07/08/2002
Lateral derecho;Marvin Senaya;Francia;29;28/01/2001
Lateral derecho;Lamine Sy;Francia;27;10/08/2002
Pivote;Elisha Owusu;Ghana;42;07/11/1997
Pivote;Oussama El Azzouzi ;Marruecos;17;29/05/2001
Pivote;Assane Dioussé;Senegal;18;20/09/1997
Pivote;Nathan Buayi-Kiala;Francia;-;29/02/2004
Mediocentro;Kévin Danois;Francia;5;28/06/2004
Mediocentro;Naouirou Ahamada;Francia;8;29/03/2002
Mediocentro;Tidiane Devernois;Francia;36;18/10/2007
Mediocentro ofensivo;Romain Faivre ;Francia;28;14/07/1998
Extremo izquierdo;Danny Namaso;Camerún;19;28/08/2000
Extremo derecho;Josué Casimir;Haití;7;24/09/2001
Extremo derecho;Lasso Coulibaly;Costa de Marfil;21;19/10/2002
Delantero centro;Lassine Sinayoko;Malí;10;08/12/1999
Delantero centro;Sékou Mara;Francia;9;30/07/2002
Delantero centro;Ryan Rodin;Francia;31;02/03/2006
