pos;name;pais;num;edad
Portero;Philipp Köhn;Suiza;16;02/04/1998
Portero;Lukas Hradecky ;Finlandia;1;24/11/1989
Portero;Jules Stawiecki;Francia;40;10/04/2007
Portero;Yann Lienard;Francia;50;16/03/2003
Defensa central;Thilo Kehrer;Alemania;5;21/09/1996
Defensa central;Christian Mawissa;Francia;13;18/04/2005
Defensa central;Wout Faes;Bélgica;25;03/04/1998
Defensa central;Mohammed Salisu ;Ghana;22;17/04/1999
Defensa central;Eric Dier ;Inglaterra;3;15/01/1994
Lateral izquierdo;Caio Henrique;Brasil;12;31/07/1997
Lateral izquierdo;Kassoum Ouattara ;Francia;20;14/10/2004
Lateral derecho;Vanderson;Brasil;2;21/06/2001
Lateral derecho;Jordan Teze;Países Bajos;4;30/09/1999
Pivote;Denis Zakaria ;Suiza;6;20/11/1996
Pivote;Aladji Bamba;Francia;23;14/07/2006
Mediocentro;Lamine Camara;Senegal;15;01/01/2004
Mediocentro;Mamadou Coulibaly;Francia;28;21/04/2004
Mediocentro;Paul Pogba ;Francia;8;15/03/1993
Interior derecho;Krépin Diatta ;Senegal;27;25/02/1999
Mediocentro ofensivo;Aleksandr Golovin;Rusia;10;30/05/1996
Mediocentro ofensivo;Stanis Idumbo;Bélgica;17;29/06/2005
Extremo izquierdo;Simon Adingra;Costa de Marfil;24;01/01/2002
Extremo izquierdo;Takumi Minamino ;Japón;18;16/01/1995
Extremo izquierdo;Ansu Fati;España;31;31/10/2002
Extremo derecho;Maghnes Akliouche;Francia;11;25/02/2002
Delantero centro;Folarin Balogun;Estados Unidos;9;03/07/2001
Delantero centro;Mika Biereth;Dinamarca;14;08/02/2003
Delantero centro;Paris Brunner;Alemania;29;15/02/2006
