pos;name;pais;num;edad
Portero;Yvon Mvogo;Suiza;38;06/06/1994
Portero;Bingourou Kamara;Senegal;21;21/10/1996
Portero;Benjamin Leroy;Francia;1;07/04/1989
Defensa central;Montassar Talbi;Túnez;3;26/05/1998
Defensa central;Bamo Meïté;Costa de Marfil;5;03/12/2001
Defensa central;Abdoulaye Faye;Senegal;25;22/09/2004
Defensa central;Isaak Touré;Francia;95;28/03/2003
Defensa central;Nathaniel Adjei;Ghana;32;21/08/2002
Lateral izquierdo;Arsène Kouassi;Burkina Faso;43;02/01/2004
Lateral izquierdo;Darlin Yongwa;Camerún;44;22/09/2000
Lateral derecho;Igor Silva;Brasil;2;21/08/1996
Pivote;Laurent Abergel ;Francia;6;01/02/1993
Mediocentro;Arthur Avom;Camerún;62;15/12/2004
Mediocentro;Noah Cadiou;Guadalupe;8;26/10/1998
Interior derecho;Théo Le Bris;Francia;11;01/10/2002
Interior derecho;Panos Katseris;Grecia;77;05/07/2001
Mediocentro ofensivo;Dermane Karim;Togo;29;26/12/2003
Mediocentro ofensivo;Jean-Victor Makengo;Francia;17;12/06/1998
Mediocentro ofensivo;Bandiougou Fadiga;Francia;7;15/01/2001
Extremo izquierdo;Pablo Pagis ;Francia;10;29/12/2002
Extremo izquierdo;Trevan Sanusi;Inglaterra;14;25/04/2007
Delantero centro;Sambou Soumano;Senegal;28;03/01/2001
Delantero centro;Mohamed Bamba;Costa de Marfil;9;10/12/2001
Delantero centro;Aiyegun Tosin;Benín;15;26/06/1998
Delantero centro;Bamba Dieng;Senegal;12;23/03/2000
