pos;name;pais;num;edad
Portero;Jonathan Fischer;Dinamarca;1;09/11/2001
Portero;Pape Sy ;Senegal;61;02/05/1997
Portero;Ousmane Ba;Senegal;40;06/06/2002
Defensa central;Sadibou Sané;Senegal;38;10/06/2004
Defensa central;Terry Yegbe;Ghana;15;25/01/2001
Defensa central;Jean-Philippe Gbamin;Costa de Marfil;5;25/09/1995
Defensa central;Michel Mboula;Gabón;4;30/04/2003
Lateral izquierdo;Fodé Ballo-Touré;Senegal;97;03/01/1997
Lateral izquierdo;Yannis Lawson;Bélgica;27;22/11/2004
Lateral derecho;Koffi Kouao;Costa de Marfil;39;20/05/1998
Lateral derecho;Bouna Sarr;Senegal;70;31/01/1992
Lateral derecho;Maxime Colin;Francia;2;15/11/1991
Lateral derecho;Cléo Mélières;Francia;25;13/04/2005
Pivote;Boubacar Traoré;Malí;8;20/08/2001
Pivote;Alpha Touré;Senegal;12;25/01/2006
Pivote;Benjamin Stambouli ;Francia;21;13/08/1990
Mediocentro;Jessy Deminguet;Francia;20;07/01/1998
Mediocentro;Believe Munongo;Francia;33;23/11/2009
Mediocentro ofensivo;Ismaël Guerti ;Marruecos;29;30/07/2004
Extremo izquierdo;Lucas Michal;Francia;19;22/06/2005
Extremo izquierdo;Giorgi Abuashvili;Georgia;9;08/02/2003
Extremo derecho;Gauthier Hein ;Francia;10;07/08/1996
Extremo derecho;Giorgi Tsitaishvili;Georgia;7;18/11/2000
Extremo derecho;Joel Asoro;Suecia;99;27/04/1999
Delantero centro;Habib Diallo;Senegal;30;18/06/1995
Delantero centro;Giorgi Kvilitaia;Georgia;11;01/10/1993
Delantero centro;Joseph Mangondo ;Francia;17;06/08/2005
