pos;name;pais;num;edad
Portero;Anthony Lopes;Portugal;1;01/10/1990
Portero;Patrik Carlgren;Suecia;30;08/01/1992
Portero;Alexis Mirbach;Francia;50;04/03/2005
Defensa central;Tylel Tati;Francia;78;19/01/2008
Defensa central;Abakar Sylla;Costa de Marfil;4;25/12/2002
Defensa central;Chidozie Awaziem;Nigeria;6;01/01/1997
Defensa central;Ali Youssif;Libia;2;09/07/2001
Defensa central;Uros Radakovic;Serbia;26;31/03/1994
Defensa central;Sékou Doucouré;Malí;72;26/04/2005
Lateral izquierdo;Nicolas Cozza;Francia;3;08/01/1999
Lateral izquierdo;Deiver Machado;Colombia;27;02/09/1993
Lateral derecho;Kelvin Amian ;Francia;98;08/02/1998
Lateral derecho;Fabien Centonze;Francia;18;16/01/1996
Lateral derecho;Frédéric Guilbert;Francia;24;24/12/1994
Pivote;Johann Lepenant;Francia;8;22/10/2002
Pivote;Ibrahima Sissoko;Malí;28;27/10/1997
Pivote;Francis Coquelin;Francia;13;13/05/1991
Pivote;Bahmed Deuff ;Francia;52;10/03/2006
Mediocentro;Dehmaine Tabibou;Francia;17;17/04/2005
Mediocentro;Mohamed Kaba;Francia;21;27/10/2001
Mediocentro ofensivo;Louis Leroux;Francia;66;23/01/2006
Mediocentro ofensivo;Rémy Cabella;Francia;20;08/03/1990
Extremo izquierdo;Herba Guirassy;Francia;11;29/08/2006
Delantero centro;Matthis Abline;Francia;10;28/03/2003
Delantero centro;Mostafa Mohamed;Egipto;31;28/11/1997
Delantero centro;Ignatius Ganago;Camerún;37;16/02/1999
Delantero centro;Amady Camara;Malí;14;28/05/2005
Delantero centro;Youssef El Arabi;Marruecos;19;03/02/1987
