pos;name;pais;num;edad
Portero;Lucas Chevalier;Francia;30;06/11/2001
Portero;Matvey Safonov;Rusia;39;25/02/1999
Portero;Renato Marin;Italia;89;10/07/2006
Defensa central;Willian Pacho;Ecuador;51;16/10/2001
Defensa central;Ilya Zabarnyi;Ucrania;6;01/09/2002
Defensa central;Marquinhos ;Brasil;5;14/05/1994
Defensa central;Lucas Beraldo;Brasil;4;24/11/2003
Lateral izquierdo;Nuno Mendes;Portugal;25;19/06/2002
Lateral izquierdo;Lucas Hernández;Francia;21;14/02/1996
Lateral derecho;Achraf Hakimi;Marruecos;2;04/11/1998
Pivote;Vitinha;Portugal;17;13/02/2000
Mediocentro;João Neves ;Portugal;87;27/09/2004
Mediocentro;Warren Zaïre-Emery;Francia;33;08/03/2006
Mediocentro;Fabián Ruiz ;España;8;03/04/1996
Mediocentro;Senny Mayulu ;Francia;24;17/05/2006
Mediocentro ofensivo;Kang-in Lee;Corea del Sur;19;19/02/2001
Mediocentro ofensivo;Dro Fernández;España;27;12/01/2008
Extremo izquierdo;Khvicha Kvaratskhelia;Georgia;7;12/02/2001
Extremo izquierdo;Bradley Barcola;Francia;29;02/09/2002
Extremo izquierdo;Quentin Ndjantou ;Francia;47;23/07/2007
Extremo derecho;Désiré Doué;Francia;14;03/06/2005
Extremo derecho;Ibrahim Mbaye;Senegal;49;24/01/2008
Delantero centro;Ousmane Dembélé ;Francia;10;15/05/1997
Delantero centro;Gonçalo Ramos;Portugal;9;20/06/2001
