pos;name;pais;num;edad
Portero;Brice Samba;Francia;30;25/04/1994
Portero;Mathys Silistrie;Francia;50;16/09/2005
Defensa central;Jérémy Jacquet ;Francia;97;13/07/2005
Defensa central;Lilian Brassier;Francia;3;02/11/1999
Defensa central;Abdelhamid Ait Boudlal;Marruecos;48;16/04/2006
Defensa central;Anthony Rouault;Francia;24;29/05/2001
Defensa central;Alidu Seidu;Ghana;36;04/06/2000
Lateral izquierdo;Quentin Merlin;Francia;26;16/05/2002
Lateral izquierdo;Mahamadou Nagida;Camerún;18;28/06/2005
Lateral derecho;Przemyslaw Frankowski ;Polonia;95;12/04/1995
Mediocentro;Djaoui Cissé;Francia;6;31/01/2004
Mediocentro;Mahdi Camara;Francia;45;30/06/1998
Mediocentro;Valentin Rongier ;Francia;21;07/12/1994
Mediocentro;Glen Kamara ;Finlandia;4;28/10/1995
Interior derecho;Ludovic Blas;Francia;10;31/12/1997
Mediocentro ofensivo;Sebastian Szymanski;Polonia;17;10/05/1999
Extremo derecho;Mousa Tamari;Jordania;11;10/06/1997
Extremo derecho;Arnaud Nordin;Francia;70;17/06/1998
Extremo derecho;Nordan Mukiele;Francia;65;12/02/2006
Extremo derecho;Elías Legendre Quiñónez;Ecuador;75;22/04/2008
Delantero centro;Estéban Lepaul;Francia;9;18/04/2000
Delantero centro;Breel Embolo;Suiza;7;14/02/1997
Delantero centro;Yassir Zabiri;Marruecos;77;23/02/2005
