pos;name;pais;num;edad
Portero;Guillaume Restes;Francia;1;11/03/2005
Portero;Kjetil Haug;Noruega;16;12/06/1998
Portero;Álex Domínguez ;España;30;30/07/1998
Defensa central;Charlie Cresswell;Inglaterra;4;17/08/2002
Defensa central;Mark McKenzie;Estados Unidos;3;25/02/1999
Defensa central;Rasmus Nicolaisen ;Dinamarca;2;16/03/1997
Defensa central;Seny Koumbassa;Francia;35;20/06/2007
Lateral izquierdo;Dayann Methalie;Francia;24;15/02/2006
Lateral derecho;Warren Kamanzi;Noruega;12;11/11/2000
Lateral derecho;Djibril Sidibé;Francia;19;29/07/1992
Lateral derecho;Rafik Messali ;Argelia;22;28/04/2003
Mediocentro;Cristian Cásseres Jr.;Venezuela;23;20/01/2000
Mediocentro;Pape Demba Diop;Senegal;18;04/09/2003
Mediocentro;Alexis Vossah;Francia;45;11/03/2008
Mediocentro;Abu Francis ;Ghana;17;27/04/2001
Mediocentro;Mario Sauer;Eslovaquia;77;15/05/2004
Interior derecho;Aron Dønnum;Noruega;15;20/04/1998
Extremo izquierdo;Yann Gboho;Francia;10;14/01/2001
Delantero centro;Frank Magri ;Camerún;9;04/09/1999
Delantero centro;Emersonn;Brasil;20;16/07/2004
Delantero centro;Jacen Russell-Rowe;Canadá;13;13/09/2002
Delantero centro;Santiago Hidalgo;Argentina;11;17/02/2005
Delantero centro;Julián Vignolo;Argentina;7;07/12/2006
Delantero centro;Enzo Faty;Francia;21;09/03/2007
