pos;name;pais;num;edad
Portero;Berke Özer;Turquía;1;25/05/2000
Portero;Arnaud Bodart;Bélgica;16;11/03/1998
Portero;Marc-Aurèle Caillard ;Francia;30;12/05/1994
Defensa central;Alexsandro ;Brasil;4;09/08/1999
Defensa central;Nathan Ngoy;Bélgica;3;10/06/2003
Defensa central;Chancel Mbemba;RD del Congo;18;08/08/1994
Defensa central;Aïssa Mandi;Argelia;23;22/10/1991
Defensa central;Rafael Fernandes;Portugal;-;28/06/2002
Defensa central;Ousmane Touré ;Francia;36;18/02/2005
Lateral izquierdo;Romain Perraud;Francia;15;22/09/1997
Lateral izquierdo;Calvin Verdonk;Indonesia;24;26/04/1997
Lateral derecho;Tiago Santos;Portugal;22;23/07/2002
Lateral derecho;Thomas Meunier;Bélgica;12;12/09/1991
Pivote;Ngal'ayel Mukau;RD del Congo;17;03/11/2004
Pivote;Nabil Bentaleb;Argelia;6;24/11/1994
Pivote;Benjamin André ;Francia;21;03/08/1990
Mediocentro;Ayyoub Bouaddi;Francia;32;02/10/2007
Mediocentro ofensivo;Hákon Arnar Haraldsson;Islandia;10;10/04/2003
Extremo izquierdo;Matías Fernández-Pardo;España;7;03/02/2005
Extremo izquierdo;Osame Sahraoui ;Marruecos;11;11/06/2001
Extremo izquierdo;Félix Correia;Portugal;27;22/01/2001
Extremo derecho;Ethan Mbappé ;Francia;8;29/12/2006
Extremo derecho;Marius Broholm;Noruega;14;26/12/2004
Extremo derecho;Gaëtan Perrin;Francia;28;07/06/1996
Extremo derecho;Noah Edjouma;Francia;20;04/10/2005
Delantero centro;Hamza Igamane ;Marruecos;29;02/11/2002
Delantero centro;Olivier Giroud;Francia;9;30/09/1986
