pos;name;pais;num;edad
Portero;Yehvann Diouf;Senegal;80;16/11/1999
Portero;Maxime Dupé;Francia;31;04/03/1993
Portero;Bartosz Zelazowski;Polonia;30;25/04/2005
Defensa central;Youssouf Ndayishimiye ;Burundi;55;27/10/1998
Defensa central;Moïse Bombito ;Canadá;64;30/03/2000
Defensa central;Juma Bah;Sierra Leona;28;11/04/2006
Defensa central;Antoine Mendy;Senegal;33;27/05/2004
Defensa central;Kojo Peprah Oppong;Ghana;37;04/06/2004
Defensa central;Mohamed Abdelmonem;Egipto;5;01/02/1999
Defensa central;Dante ;Brasil;4;18/10/1983
Lateral izquierdo;Melvin Bard;Francia;26;06/11/2000
Lateral izquierdo;Ali Abdi;Túnez;2;20/12/1993
Lateral derecho;Jonathan Clauss;Francia;92;25/09/1992
Pivote;Charles Vanhoutte;Bélgica;24;16/09/1998
Pivote;Salis Abdul Samed;Ghana;99;26/03/2000
Mediocentro;Hicham Boudaoui;Argelia;6;23/09/1999
Mediocentro;Morgan Sanson;Francia;8;18/08/1994
Mediocentro;Tanguy Ndombélé;Francia;22;28/12/1996
Mediocentro;Djibril Coulibaly;Francia;39;18/11/2008
Interior derecho;Tom Louchet;Francia;20;04/05/2003
Mediocentro ofensivo;Gabin Bernardeau;Francia;23;24/01/2006
Extremo izquierdo;Sofiane Diop;Marruecos;10;09/06/2000
Extremo izquierdo;Isak Jansson ;Suecia;21;31/01/2002
Extremo derecho;Mohamed-Ali Cho;Francia;25;19/01/2004
Extremo derecho;Tiago Gouveia;Portugal;47;18/06/2001
Delantero centro;Elye Wahi ;Francia;11;02/01/2003
Delantero centro;Kevin Carlos;España;90;10/04/2001
