pos;name;pais;num;edad
Portero;Dominik Greif;Eslovaquia;1;06/04/1997
Portero;Rémy Descamps;Francia;40;25/06/1996
Portero;Lassine Diarra;Malí;50;11/11/2002
Defensa central;Moussa Niakhaté;Senegal;19;08/03/1996
Defensa central;Clinton Mata;Angola;22;07/11/1992
Defensa central;Ruben Kluivert ;Países Bajos;21;21/05/2001
Defensa central;Noham Kamara;Francia;85;22/01/2007
Lateral izquierdo;Abner;Brasil;16;27/05/2000
Lateral izquierdo;Nicolás Tagliafico;Argentina;3;31/08/1992
Lateral izquierdo;Achraf Laâziri;Marruecos;36;08/07/2003
Lateral derecho;Ainsley Maitland-Niles;Inglaterra;98;29/08/1997
Lateral derecho;Hans Hateboer;Países Bajos;33;09/01/1994
Pivote;Tyler Morton;Inglaterra;23;31/10/2002
Pivote;Tanner Tessmann;Estados Unidos;6;24/09/2001
Pivote;Orel Mangala;Bélgica;5;18/03/1998
Pivote;Mathys De Carvalho;Portugal;39;01/05/2005
Mediocentro;Corentin Tolisso ;Francia;8;03/08/1994
Mediocentro;Khalis Merah;Francia;44;24/02/2007
Mediocentro ofensivo;Pavel Sulc ;República Checa;10;29/12/2000
Mediocentro ofensivo;Adam Karabec;República Checa;7;02/07/2003
Mediocentro ofensivo;Noah Nartey;Dinamarca;99;05/10/2005
Extremo izquierdo;Malick Fofana;Bélgica;11;31/03/2005
Extremo izquierdo;Afonso Moreira ;Portugal;17;19/03/2005
Extremo izquierdo;Rémi Himbert;Francia;45;29/02/2008
Extremo derecho;Ernest Nuamah ;Ghana;37;01/11/2003
Extremo derecho;Rachid Ghezzal;Argelia;18;09/05/1992
Delantero centro;Endrick;Brasil;9;21/07/2006
Delantero centro;Roman Yaremchuk;Ucrania;77;27/11/1995
