pos;name;pais;num;edad
Portero;Gerónimo Rulli;Argentina;1;20/05/1992
Portero;Jeffrey de Lange;Países Bajos;12;01/04/1998
Portero;Jelle Van Neck;Bélgica;40;07/03/2004
Portero;Théo Vermot;Francia;92;27/01/1997
Defensa central;Nayef Aguerd;Marruecos;21;30/03/1996
Defensa central;Leonardo Balerdi ;Argentina;5;26/01/1999
Defensa central;Benjamin Pavard;Francia;28;28/03/1996
Defensa central;Facundo Medina;Argentina;32;28/05/1999
Defensa central;CJ Egan-Riley;Inglaterra;4;02/01/2003
Lateral izquierdo;Emerson;Italia;33;03/08/1994
Pivote;Arthur Vermeeren;Bélgica;18;07/02/2005
Pivote;Pierre-Emile Højbjerg;Dinamarca;23;05/08/1995
Pivote;Geoffrey Kondogbia;República Centroafricana;19;15/02/1993
Pivote;Tochukwu Nnadi;Nigeria;6;30/06/2003
Mediocentro;Quinten Timber ;Países Bajos;27;17/06/2001
Mediocentro;Bilal Nadir;Marruecos;26;28/11/2003
Interior derecho;Timothy Weah;Estados Unidos;22;22/02/2000
Mediocentro ofensivo;Ethan Nwaneri;Inglaterra;11;21/03/2007
Mediocentro ofensivo;Himad Abdelli;Argelia;8;17/11/1999
Extremo izquierdo;Igor Paixão;Brasil;14;28/06/2000
Extremo izquierdo;Hamed Traoré;Costa de Marfil;20;16/02/2000
Extremo derecho;Mason Greenwood;Inglaterra;10;01/10/2001
Delantero centro;Amine Gouiri;Argelia;9;16/02/2000
Delantero centro;Pierre-Emerick Aubameyang;Gabón;17;18/06/1989
