pos;name;pais;num;edad
Portero;Obed Nkambadio;Francia;16;07/02/2003
Portero;Kevin Trapp;Alemania;35;08/07/1990
Portero;Rémy Riou;Francia;1;06/08/1987
Defensa central;Otávio;Brasil;6;21/04/2002
Defensa central;Diego Coppola;Italia;42;28/12/2003
Defensa central;Moustapha Mbow;Senegal;5;08/03/2000
Defensa central;Samir Chergui ;Argelia;31;06/02/1999
Defensa central;Timothée Kolodziejczak;Francia;15;01/10/1991
Lateral izquierdo;Nhoa Sangui;Francia;19;27/02/2006
Lateral izquierdo;Thibault De Smet  ;Bélgica;28;05/06/1998
Lateral izquierdo;Tuomas Ollila;Finlandia;2;25/04/2000
Lateral derecho;Hamari Traoré ;Malí;14;27/01/1992
Lateral derecho;Sofiane Alakouch;Marruecos;22;29/07/1998
Pivote;Maxime Lopez ;Francia;21;04/12/1997
Pivote;Pierre Lees-Melou;Francia;33;25/05/1993
Pivote;Adama Camara;Francia;17;18/10/1996
Mediocentro;Marshall Munetsi;Zimbabue;18;22/06/1996
Mediocentro;Rudy Matondo;Francia;23;13/03/2008
Mediocentro;Vincent Marchetti;Francia;4;04/07/1997
Extremo izquierdo;Moses Simon;Nigeria;27;12/07/1995
Extremo izquierdo;Alimami Gory;Francia;7;30/08/1996
Extremo izquierdo;Julien Lopez;Argelia;20;01/03/1992
Extremo derecho;Ilan Kebbal;Argelia;10;10/07/1998
Extremo derecho;Jonathan Ikoné;Francia;93;02/05/1998
Extremo derecho;Luca Koleosho;Italia;24;15/09/2004
Extremo derecho;Mathieu Cafaro;Francia;13;25/03/1997
Extremo derecho;Lamine Gueye;Senegal;26;13/03/1998
Delantero centro;Willem Geubbels;Francia;9;16/08/2001
Delantero centro;Jean-Philippe Krasso;Costa de Marfil;11;17/07/1997
Delantero centro;Ciro Immobile;Italia;36;20/02/1990
Delantero centro;Pierre-Yves Hamel ;Francia;29;03/02/1994
