pos;name;pais;num;edad
Portero;Robin Risser;Francia;40;02/12/2004
Portero;Mathieu Gorgelin;Francia;16;05/08/1990
Portero;Régis Gurtner ;Francia;1;08/12/1986
Portero;Ilan Jourdren;Francia;60;17/07/2008
Defensa central;Samson Baidoo ;Austria;6;31/03/2004
Defensa central;Malang Sarr;Francia;20;23/01/1999
Defensa central;Jonathan Gradit ;Francia;24;24/11/1992
Defensa central;Ismaëlo Ganiou;Burkina Faso;25;14/03/2005
Defensa central;Nidal Celik;Bosnia y Herzegovina;4;17/07/2006
Defensa central;Kyllian Antonio ;Francia;32;04/01/2008
Lateral izquierdo;Matthieu Udol;Francia;14;20/03/1996
Lateral izquierdo;Arthur Masuaku;RD del Congo;27;07/11/1993
Lateral derecho;Ruben Aguilar ;Francia;2;26/04/1993
Lateral derecho;Saud Abdulhamid;Arabia Saudita;23;18/07/1999
Pivote;Fodé Sylla;Francia;18;16/04/2006
Mediocentro;Mamadou Sangaré;Malí;8;26/06/2002
Mediocentro;Amadou Haidara;Malí;21;31/01/1998
Mediocentro;Adrien Thomasson ;Francia;28;10/12/1993
Mediocentro;Andrija Bulatovic;Montenegro;5;27/12/2006
Mediocentro ofensivo;Alpha Diallo;Francia;31;25/02/2006
Extremo izquierdo;Allan Saint-Maximin ;Francia;9;12/03/1997
Extremo izquierdo;Abdallah Sima;Senegal;19;17/06/2001
Extremo izquierdo;Anthony Bermont;Francia;26;10/02/2005
Extremo derecho;Florian Thauvin;Francia;10;26/01/1993
Delantero centro;Odsonne Édouard;Francia;11;16/01/1998
Delantero centro;Rayan Fofana;Francia;38;12/02/2006
Delantero centro;Wesley Saïd;Francia;22;19/04/1995
Delantero centro;Florian Sotoca;Francia;7;25/10/1990
