pos;name;pais;num;edad
Portero;Mike Penders;Bélgica;39;31/07/2005
Portero;Stefan Bajic;Francia;50;23/12/2001
Portero;Karl-Johan Johnsson;Suecia;1;28/01/1990
Defensa central;Ismaël Doukouré;Francia;6;24/07/2003
Defensa central;Aarón Anselmino;Argentina;5;29/04/2005
Defensa central;Lucas Høgsberg;Dinamarca;24;23/06/2006
Defensa central;Andrew Omobamidele;Irlanda;2;23/06/2002
Lateral izquierdo;Ben Chilwell;Inglaterra;3;21/12/1996
Lateral derecho;Guéla Doué;Costa de Marfil;22;17/10/2002
Pivote;Junior Mwanga;Francia;18;11/05/2003
Pivote;Maxi Oyedele;Polonia;8;07/11/2004
Pivote;Rafael Luís;Portugal;83;18/02/2005
Mediocentro;Valentín Barco;Argentina;32;23/07/2004
Mediocentro;Mathis Amougou;Francia;17;18/01/2006
Mediocentro;Samir El Mourabet;Marruecos;29;06/10/2005
Interior izquierdo;Diego Moreira;Bélgica;7;06/08/2004
Interior izquierdo;Sebastian Nanasi;Suecia;11;16/05/2002
Mediocentro ofensivo;Julio Enciso;Paraguay;19;23/01/2004
Extremo izquierdo;Martial Godo;Costa de Marfil;20;14/03/2003
Extremo derecho;Abdoul Ouattara;Costa de Marfil;42;22/10/2005
Extremo derecho;Samuel Amo-Ameyaw;Inglaterra;27;18/07/2006
Extremo derecho;Gessime Yassine;Marruecos;80;22/11/2005
Delantero centro;Emmanuel Emegha  ;Países Bajos;10;03/02/2003
Delantero centro;Joaquín Panichelli;Argentina;9;07/10/2002
Delantero centro;David Datro Fofana;Costa de Marfil;15;22/12/2002
