pos;name;pais;num;edad
Portero;Hervé Koffi;Burkina Faso;12;16/10/1996
Portero;Melvin Zinga;Francia;16;16/03/2002
Portero;Oumar Pona;Malí;40;21/06/2006
Defensa central;Ousmane Camara;Malí;4;06/03/2003
Defensa central;Emmanuel Biumla;Francia;24;08/05/2005
Defensa central;Jordan Lefort;Francia;21;09/08/1993
Defensa central;Abdoulaye Bamba;Costa de Marfil;25;25/04/1990
Lateral izquierdo;Jacques Ekomié;Gabón;3;19/08/2003
Lateral izquierdo;Florent Hanin;Francia;26;04/02/1990
Lateral izquierdo;Dan Sinaté;Malí;23;09/06/2006
Lateral derecho;Carlens Arcus;Haití;2;28/06/1996
Lateral derecho;Lilian Raolisoa;Francia;27;16/06/2000
Lateral derecho;Marius Louër;Francia;20;11/03/2007
Pivote;Marius Courcoul;Francia;5;01/01/2007
Mediocentro;Yassin Belkhdim;Marruecos;14;14/02/2002
Mediocentro;Branco van den Boomen;Países Bajos;8;21/07/1995
Mediocentro;Haris Belkebla ;Argelia;93;28/01/1994
Mediocentro;Pierrick Capelle;Francia;15;15/04/1987
Mediocentro ofensivo;Louis Mouton;Francia;6;03/06/2002
Extremo izquierdo;Amine Sbaï;Marruecos;7;05/11/2000
Extremo derecho;Harouna Djibirin;Camerún;31;05/11/2006
Delantero centro;Prosper Peter;Francia;35;09/08/2007
Delantero centro;Goduine Koyalipou;República Centroafricana;9;15/02/2000
Delantero centro;Lanroy Machine;Francia;36;13/10/2005
