pos;name;pais;num;edad
Portero;Radoslaw Majecki;Polonia;1;16/11/1999
Portero;Grégoire Coudert;Francia;30;03/04/1999
Portero;Noah Jauny;Irlanda;50;26/08/2004
Defensa central;Soumaïla Coulibaly;Francia;44;14/10/2003
Defensa central;Junior Diaz;Costa de Marfil;4;23/07/2003
Defensa central;Brendan Chardonnet ;Francia;5;22/12/1994
Defensa central;Raphaël Le Guen;Francia;71;01/09/2006
Lateral izquierdo;Bradley Locko;Francia;2;06/05/2002
Lateral izquierdo;Daouda Guindo;Malí;27;14/10/2002
Lateral derecho;Luck Zogbé;Costa de Marfil;12;24/03/2005
Lateral derecho;Kenny Lala;Francia;77;03/10/1991
Pivote;Joris Chotard;Francia;13;24/09/2001
Pivote;Hamidou Makalou;Malí;33;15/07/2006
Mediocentro;Hugo Magnetti;Francia;8;30/05/1998
Mediocentro;Lucas Tousart;Francia;24;29/04/1997
Interior derecho;Junior Dina Ebimbe;Camerún;7;21/11/2000
Mediocentro ofensivo;Kamory Doumbia;Malí;23;18/02/2003
Extremo izquierdo;Pathé Mboup;Senegal;99;19/10/2003
Extremo derecho;Romain Del Castillo;Francia;10;29/03/1996
Delantero centro;Mama Baldé ;Guinea-Bissau;17;06/11/1995
Delantero centro;Ludovic Ajorque;Francia;19;25/02/1994
Delantero centro;Rémy Labeau Lascary;Francia;14;03/03/2003
Delantero centro;Saliou Diop;Senegal;29;12/05/2005
