pos;name;pais;num;edad
Portero;Gianluigi Donnarumma;Italia;25;25/02/1999
Portero;James Trafford;Inglaterra;1;10/10/2002
Portero;Marcus Bettinelli;Inglaterra;13;24/05/1992
Defensa central;Josko Gvardiol ;Croacia;24;23/01/2002
Defensa central;Rúben Dias;Portugal;3;14/05/1997
Defensa central;Marc Guéhi;Inglaterra;15;13/07/2000
Defensa central;Abdukodir Khusanov;Uzbekistán;45;29/02/2004
Defensa central;John Stones;Inglaterra;5;28/05/1994
Defensa central;Nathan Aké;Países Bajos;6;18/02/1995
Defensa central;Max Alleyne;Inglaterra;68;21/07/2005
Lateral izquierdo;Rayan Aït-Nouri;Argelia;21;06/06/2001
Lateral izquierdo;Nico O'Reilly;Inglaterra;33;21/03/2005
Lateral derecho;Matheus Nunes;Portugal;27;27/08/1998
Lateral derecho;Rico Lewis;Inglaterra;82;21/11/2004
Pivote;Rodri;España;16;22/06/1996
Pivote;Nico González;España;14;03/01/2002
Mediocentro;Tijjani Reijnders;Países Bajos;4;29/07/1998
Mediocentro;Mateo Kovacic ;Croacia;8;06/05/1994
Mediocentro;Sverre Nypan;Noruega;41;19/12/2006
Mediocentro ofensivo;Phil Foden;Inglaterra;47;28/05/2000
Mediocentro ofensivo;Rayan Cherki;Francia;10;17/08/2003
Mediocentro ofensivo;Bernardo Silva ;Portugal;20;10/08/1994
Extremo izquierdo;Jérémy Doku;Bélgica;11;27/05/2002
Extremo izquierdo;Savinho;Brasil;26;10/04/2004
Extremo derecho;Antoine Semenyo;Ghana;42;07/01/2000
Delantero centro;Erling Haaland;Noruega;9;21/07/2000
Delantero centro;Omar Marmoush;Egipto;7;07/02/1999
Portero;David Raya;España;1;15/09/1995
Portero;Kepa Arrizabalaga;España;13;03/10/1994
Defensa central;William Saliba ;Francia;2;24/03/2001
Defensa central;Gabriel Magalhães;Brasil;6;19/12/1997
Defensa central;Piero Hincapié;Ecuador;5;09/01/2002
Defensa central;Cristhian Mosquera;España;3;27/06/2004
Lateral izquierdo;Riccardo Calafiori;Italia;33;19/05/2002
Lateral izquierdo;Myles Lewis-Skelly;Inglaterra;49;26/09/2006
Lateral derecho;Jurriën Timber;Países Bajos;12;17/06/2001
Lateral derecho;Ben White;Inglaterra;4;08/10/1997
Pivote;Martín Zubimendi;España;36;02/02/1999
Pivote;Christian Nørgaard;Dinamarca;16;10/03/1994
Mediocentro;Declan Rice;Inglaterra;41;14/01/1999
Mediocentro;Mikel Merino ;España;23;22/06/1996
