pos;name;pais1;pais2;num;edad;team_name
Portero;Josep Martínez;España;;13;27/05/1998;inter_mailand
Portero;Yann Sommer;Suiza;;1;17/12/1988;inter_mailand
Portero;Raffaele Di Gennaro;Italia;;12;03/10/1993;inter_mailand
Defensa central;Alessandro Bastoni;Italia;;95;13/04/1999;inter_mailand
Defensa central;Yann Bisseck;Alemania;Camerún;31;29/11/2000;inter_mailand
Defensa central;Manuel Akanji;Suiza;Nigeria;25;19/07/1995;inter_mailand
Defensa central;Stefan de Vrij;Países Bajos;;6;05/02/1992;inter_mailand
Defensa central;Francesco Acerbi;Italia;;15;10/02/1988;inter_mailand
Lateral izquierdo;Federico Dimarco;Italia;;32;10/11/1997;inter_mailand
Lateral izquierdo;Carlos Augusto;Brasil;Italia;30;07/01/1999;inter_mailand
Lateral derecho;Denzel Dumfries;Países Bajos;Aruba;2;18/04/1996;inter_mailand
Lateral derecho;Matteo Darmian;Italia;;36;02/12/1989;inter_mailand
Pivote;Hakan Çalhanoğlu;Turquía;Alemania;20;08/02/1994;inter_mailand
Mediocentro;Nicolò Barella;Italia;;23;07/02/1997;inter_mailand
Mediocentro;Petar Sučić;Croacia;Bosnia y Herzegovina;8;25/10/2003;inter_mailand
Mediocentro;Davide Frattesi;Italia;;16;22/09/1999;inter_mailand
Mediocentro;Andy Diouf;Francia;Senegal;17;17/05/2003;inter_mailand
Mediocentro;Piotr Zieliński;Polonia;Italia;7;20/05/1994;inter_mailand
Mediocentro;Henrikh Mkhitaryan;Armenia;;22;21/01/1989;inter_mailand
Interior derecho;Luis Henrique;Brasil;;11;14/12/2001;inter_mailand
Delantero centro;Lautaro Martínez;Argentina;;10;22/08/1997;inter_mailand
Delantero centro;Marcus Thuram;Francia;Guadalupe;9;06/08/1997;inter_mailand
Delantero centro;Pio Esposito;Italia;;94;28/06/2005;inter_mailand
Delantero centro;Ange-Yoan Bonny;Costa de Marfil;Francia;14;25/10/2003;inter_mailand
Portero;Michele Di Gregorio;Italia;;16;27/07/1997;juventus_turin
Portero;Mattia Perin;Italia;;1;10/11/1992;juventus_turin
Portero;Carlo Pinsoglio;Italia;;23;16/03/1990;juventus_turin
Defensa central;Bremer;Brasil;;3;18/03/1997;juventus_turin
Defensa central;Pierre Kalulu;Francia;RD del Congo;15;05/06/2000;juventus_turin
Defensa central;Lloyd Kelly;Inglaterra;Jamaica;6;06/10/1998;juventus_turin
Defensa central;Federico Gatti;Italia;;4;24/06/1998;juventus_turin
Lateral izquierdo;Andrea Cambiaso;Italia;;27;20/02/2000;juventus_turin
Lateral izquierdo;Juan Cabal;Colombia;;32;08/01/2001;juventus_turin
Lateral derecho;Emil Holm;Suecia;;2;13/05/2000;juventus_turin
Pivote;Manuel Locatelli;Italia;;5;08/01/1998;juventus_turin
Mediocentro;Khéphren Thuram;Francia;Guadalupe;19;26/03/2001;juventus_turin
Mediocentro;Weston McKennie;Estados Unidos;;22;28/08/1998;juventus_turin
Mediocentro;Fabio Miretti;Italia;;21;03/08/2003;juventus_turin
Interior izquierdo;Filip Kostić;Serbia;;18;01/11/1992;juventus_turin
Mediocentro ofensivo;Teun Koopmeiners;Países Bajos;;8;28/02/1998;juventus_turin
Mediocentro ofensivo;Vasilije Adžić;Montenegro;;17;12/05/2006;juventus_turin
Extremo izquierdo;Kenan Yıldız;Turquía;Alemania;10;04/05/2005;juventus_turin
Extremo izquierdo;Jérémie Boga;Costa de Marfil;Francia;13;03/01/1997;juventus_turin
Extremo derecho;Francisco Conceição;Portugal;;7;14/12/2002;juventus_turin
Extremo derecho;Edon Zhegrova;Kosovo;Albania;11;31/03/1999;juventus_turin
Delantero centro;Dušan Vlahović;Serbia;;9;28/01/2000;juventus_turin
Delantero centro;Jonathan David;Canadá;Estados Unidos;30;14/01/2000;juventus_turin
Delantero centro;Loïs Openda;Bélgica;Marruecos;20;16/02/2000;juventus_turin
Delantero centro;Arkadiusz Milik;Polonia;;14;28/02/1994;juventus_turin
Portero;Mike Maignan;Francia;Guayana Francesa;16;03/07/1995;ac_mailand
Portero;Pietro Terracciano;Italia;;1;08/03/1990;ac_mailand
Portero;Lorenzo Torriani;Italia;;96;31/01/2005;ac_mailand
Defensa central;Strahinja Pavlović;Serbia;;31;24/05/2001;ac_mailand
Defensa central;Koni De Winter;Bélgica;RD del Congo;5;12/06/2002;ac_mailand
Defensa central;Fikayo Tomori;Inglaterra;Canadá;23;19/12/1997;ac_mailand
Defensa central;Matteo Gabbia;Italia;;46;21/10/1999;ac_mailand
Defensa central;David Odogu;Alemania;Nigeria;27;03/06/2006;ac_mailand
Lateral izquierdo;Davide Bartesaghi;Italia;;33;29/12/2005;ac_mailand
Lateral izquierdo;Pervis Estupiñán;Ecuador;España;2;21/01/1998;ac_mailand
Lateral derecho;Zachary Athekame;Suiza;Nigeria;24;13/12/2004;ac_mailand
Pivote;Ardon Jashari;Suiza;Macedonia del Norte;30;30/07/2002;ac_mailand
Pivote;Samuele Ricci;Italia;;4;21/08/2001;ac_mailand
Pivote;Youssouf Fofana;Francia;Malí;19;10/01/1999;ac_mailand
Mediocentro;Adrien Rabiot;Francia;;12;03/04/1995;ac_mailand
Mediocentro;Ruben Loftus-Cheek;Inglaterra;Guyana;8;23/01/1996;ac_mailand
Mediocentro;Luka Modrić;Croacia;;14;09/09/1985;ac_mailand
Interior derecho;Alexis Saelemaekers;Bélgica;;56;27/06/1999;ac_mailand
Extremo izquierdo;Rafael Leão;Portugal;Angola;10;10/06/1999;ac_mailand
Extremo derecho;Christian Pulisic;Estados Unidos;Croacia;11;18/09/1998;ac_mailand
Delantero centro;Christopher Nkunku;Francia;RD del Congo;18;14/11/1997;ac_mailand
Delantero centro;Santiago Gimenez;México;Italia;7;18/04/2001;ac_mailand
Delantero centro;Niclas Füllkrug;Alemania;;9;09/02/1993;ac_mailand
Portero;Mile Svilar;Serbia;Bélgica;99;27/08/1999;as_rom
Portero;Pierluigi Gollini;Italia;;95;18/03/1995;as_rom
Portero;Radoslaw Zelezny;Polonia;;91;06/09/2006;as_rom
Defensa central;Evan Ndicka;Costa de Marfil;Francia;5;20/08/1999;as_rom
Defensa central;Gianluca Mancini;Italia;;23;17/04/1996;as_rom
Defensa central;Daniele Ghilardi;Italia;;87;06/01/2003;as_rom
Defensa central;Jan Ziolkowski;Polonia;;24;05/06/2005;as_rom
Defensa central;Mario Hermoso;España;;22;18/06/1995;as_rom
Lateral izquierdo;Angeliño;España;;3;04/01/1997;as_rom
Lateral izquierdo;Konstantinos Tsimikas;Grecia;;12;12/05/1996;as_rom
Lateral derecho;Wesley;Brasil;;43;06/09/2003;as_rom
Lateral derecho;Zeki Çelik;Turquía;;19;17/02/1997;as_rom
Lateral derecho;Devyne Rensch;Países Bajos;Surinam;2;18/01/2003;as_rom
Pivote;Bryan Cristante;Italia;Canadá;4;03/03/1995;as_rom
Mediocentro;Manu Koné;Francia;Costa de Marfil;17;17/05/2001;as_rom
Mediocentro;Neil El Aynaoui;Marruecos;Francia;8;02/07/2001;as_rom
Mediocentro;Niccolò Pisilli;Italia;;61;23/09/2004;as_rom
Mediocentro ofensivo;Lorenzo Pellegrini;Italia;;7;19/06/1996;as_rom
Extremo izquierdo;Bryan Zaragoza;España;;97;09/09/2001;as_rom
Extremo izquierdo;Stephan El Shaarawy;Italia;Egipto;92;27/10/1992;as_rom
Extremo derecho;Matías Soulé;Argentina;Italia;18;15/04/2003;as_rom
Extremo derecho;Lorenzo Venturino;Italia;;20;22/06/2006;as_rom
Mediapunta;Paulo Dybala;Argentina;Italia;21;15/11/1993;as_rom
Delantero centro;Donyell Malen;Países Bajos;Surinam;14;19/01/1999;as_rom
Delantero centro;Evan Ferguson;Irlanda;Inglaterra;11;19/10/2004;as_rom
Delantero centro;Robinio Vaz;Francia;Guinea-Bissau;78;17/02/2007;as_rom
Delantero centro;Artem Dovbyk;Ucrania;;9;21/06/1997;as_rom
Portero;Vanja Milinković-Savić;Serbia;España;32;20/02/1997;ssc_neapel
Portero;Alex Meret;Italia;;1;22/03/1997;ssc_neapel
Portero;Nikita Contini;Italia;Ucrania;14;21/05/1996;ssc_neapel
Portero;Mathias Ferrante;Italia;;25;01/09/2006;ssc_neapel
Defensa central;Alessandro Buongiorno;Italia;;4;06/06/1999;ssc_neapel
Defensa central;Sam Beukema;Países Bajos;;31;17/11/1998;ssc_neapel
Defensa central;Amir Rrahmani;Kosovo;Albania;13;24/02/1994;ssc_neapel
Defensa central;Juan Jesus;Brasil;Italia;5;10/06/1991;ssc_neapel
Lateral izquierdo;Miguel Gutiérrez;España;;3;27/07/2001;ssc_neapel
Lateral izquierdo;Mathías Olivera;Uruguay;España;17;31/10/1997;ssc_neapel
Lateral izquierdo;Leonardo Spinazzola;Italia;;37;25/03/1993;ssc_neapel
Lateral derecho;Giovanni Di Lorenzo;Italia;;22;04/08/1993;ssc_neapel
Lateral derecho;Pasquale Mazzocchi;Italia;;30;27/07/1995;ssc_neapel
Pivote;Billy Gilmour;Escocia;;6;11/06/2001;ssc_neapel
Pivote;Stanislav Lobotka;Eslovaquia;;68;25/11/1994;ssc_neapel
Mediocentro;Scott McTominay;Escocia;Inglaterra;8;08/12/1996;ssc_neapel
Mediocentro;Frank Anguissa;Camerún;;99;16/11/1995;ssc_neapel
Mediocentro ofensivo;Antonio Vergara;Italia;;26;16/01/2003;ssc_neapel
Mediocentro ofensivo;Eljif Elmas;Macedonia del Norte;;20;24/09/1999;ssc_neapel
Mediocentro ofensivo;Kevin De Bruyne;Bélgica;Burundi;11;28/06/1991;ssc_neapel
Extremo izquierdo;Alisson Santos;Brasil;Túnez;27;27/09/2002;ssc_neapel
Extremo derecho;David Neres;Brasil;;7;03/03/1997;ssc_neapel
Extremo derecho;Matteo Politano;Italia;;21;03/08/1993;ssc_neapel
Delantero centro;Rasmus Højlund;Dinamarca;;19;04/02/2003;ssc_neapel
Delantero centro;Romelu Lukaku;Bélgica;RD del Congo;9;13/05/1993;ssc_neapel
Delantero centro;Giovane;Brasil;;23;24/11/2003;ssc_neapel
Portero;Marco Carnesecchi;Italia;;29;01/07/2000;atalanta_bergamo
Portero;Marco Sportiello;Italia;;57;10/05/1992;atalanta_bergamo
Portero;Francesco Rossi;Italia;;31;27/04/1991;atalanta_bergamo
Defensa central;Giorgio Scalvini;Italia;;42;11/12/2003;atalanta_bergamo
Defensa central;Honest Ahanor;Italia;Nigeria;69;23/02/2008;atalanta_bergamo
Defensa central;Isak Hien;Suecia;Ghana;4;13/01/1999;atalanta_bergamo
Defensa central;Odilon Kossounou;Costa de Marfil;;3;04/01/2001;atalanta_bergamo
Defensa central;Sead Kolasinac;Bosnia y Herzegovina;Alemania;23;20/06/1993;atalanta_bergamo
Defensa central;Berat Djimsiti;Albania;Suiza;19;19/02/1993;atalanta_bergamo
Pivote;Marten de Roon;Países Bajos;;15;29/03/1991;atalanta_bergamo
Mediocentro;Éderson;Brasil;;13;07/07/1999;atalanta_bergamo
Mediocentro;Yunus Musah;Estados Unidos;Inglaterra;6;29/11/2002;atalanta_bergamo
Mediocentro;Mario Pašalić;Croacia;;8;09/02/1995;atalanta_bergamo
Interior derecho;Raoul Bellanova;Italia;;16;17/05/2000;atalanta_bergamo
Interior derecho;Davide Zappacosta;Italia;;77;11/06/1992;atalanta_bergamo
Interior izquierdo;Nicola Zalewski;Polonia;Italia;59;23/01/2002;atalanta_bergamo
Interior izquierdo;Lorenzo Bernasconi;Italia;;47;16/11/2003;atalanta_bergamo
Interior izquierdo;Mitchel Bakker;Países Bajos;;5;20/06/2000;atalanta_bergamo
Mediocentro ofensivo;Charles De Ketelaere;Bélgica;;17;10/03/2001;atalanta_bergamo
Mediocentro ofensivo;Lazar Samardžić;Serbia;Alemania;10;24/02/2002;atalanta_bergamo
Extremo izquierdo;Kamaldeen Sulemana;Ghana;;7;15/02/2002;atalanta_bergamo
Mediapunta;Giacomo Raspadori;Italia;;18;18/02/2000;atalanta_bergamo
Delantero centro;Gianluca Scamacca;Italia;;9;01/01/1999;atalanta_bergamo
Delantero centro;Nikola Krstović;Montenegro;Serbia;90;05/04/2000;atalanta_bergamo
Portero;Jean Butez;Francia;;1;08/06/1995;como_1907
Portero;Noel Törnqvist;Suecia;;21;01/02/2002;como_1907
Portero;Nikola Cavlina;Croacia;;44;02/06/2002;como_1907
Portero;Henrique Menke;Brasil;;12;12/01/2007;como_1907
Portero;Mauro Vigorito;Italia;;22;22/05/1990;como_1907
Defensa central;Jacobo Ramón;España;;14;06/01/2005;como_1907
Defensa central;Diego Carlos;Brasil;España;34;15/03/1993;como_1907
Defensa central;Marc Oliver Kempf;Alemania;;2;28/01/1995;como_1907
Defensa central;Edoardo Goldaniga;Italia;;5;02/11/1993;como_1907
Lateral izquierdo;Álex Valle;España;;3;25/04/2004;como_1907
Lateral izquierdo;Alberto Moreno;España;;18;05/07/1992;como_1907
Lateral derecho;Ignace Van der Brempt;Bélgica;;77;01/04/2002;como_1907
Lateral derecho;Mërgim Vojvoda;Kosovo;Albania;31;01/02/1995;como_1907
Lateral derecho;Ivan Smolcic;Croacia;;28;17/08/2000;como_1907
Pivote;Máximo Perrone;Argentina;España;23;07/01/2003;como_1907
Mediocentro;Lucas Da Cunha;Francia;Portugal;33;09/06/2001;como_1907
Mediocentro;Maxence Caqueret;Francia;;6;15/02/2000;como_1907
Mediocentro;Adrian Lahdo;Suecia;;15;26/12/2007;como_1907
Mediocentro;Sergi Roberto;España;;8;07/02/1992;como_1907
Mediocentro ofensivo;Nico Paz;Argentina;España;10;08/09/2004;como_1907
Mediocentro ofensivo;Martin Baturina;Croacia;;20;16/02/2003;como_1907
Extremo izquierdo;Jesús Rodríguez;España;;17;21/11/2005;como_1907
Extremo izquierdo;Assane Diao;Senegal;España;38;07/09/2005;como_1907
Extremo derecho;Jayden Addai;Países Bajos;Ghana;42;26/08/2005;como_1907
Extremo derecho;Nicolas Kühn;Alemania;;19;01/01/2000;como_1907
Delantero centro;Anastasios Douvikas;Grecia;;11;02/08/1999;como_1907
Delantero centro;Álvaro Morata;España;;7;23/10/1992;como_1907
Portero;Lukasz Skorupski;Polonia;;1;05/05/1991;fc_bologna
Portero;Federico Ravaglia;Italia;;13;11/11/1999;fc_bologna
Portero;Massimo Pessina;Italia;;25;25/12/2007;fc_bologna
Defensa central;Jhon Lucumí;Colombia;;26;26/06/1998;fc_bologna
Defensa central;Torbjørn Heggem;Noruega;;14;12/01/1999;fc_bologna
Defensa central;Martin Vitík;República Checa;;41;21/01/2003;fc_bologna
Defensa central;Eivind Helland;Noruega;;5;25/04/2005;fc_bologna
Defensa central;Nicolò Casale;Italia;;16;14/02/1998;fc_bologna
Defensa central;Kevin Bonifazi;Italia;;-;19/05/1996;fc_bologna
Lateral izquierdo;Juan Miranda;España;;33;19/01/2000;fc_bologna
Lateral izquierdo;Charalampos Lykogiannis;Grecia;;22;22/10/1993;fc_bologna
Lateral derecho;João Mário;Portugal;;17;03/01/2000;fc_bologna
Lateral derecho;Nadir Zortea;Italia;;20;19/06/1999;fc_bologna
Lateral derecho;Lorenzo De Silvestri;Italia;;29;23/05/1988;fc_bologna
Pivote;Nikola Moro;Croacia;;6;12/03/1998;fc_bologna
Mediocentro;Lewis Ferguson;Escocia;;19;24/08/1999;fc_bologna
Mediocentro;Tommaso Pobega;Italia;;4;15/07/1999;fc_bologna
Mediocentro;Simon Sohm;Suiza;Nigeria;23;11/04/2001;fc_bologna
Mediocentro;Remo Freuler;Suiza;;8;15/04/1992;fc_bologna
Mediocentro ofensivo;Jens Odgaard;Dinamarca;;21;31/03/1999;fc_bologna
Extremo izquierdo;Jonathan Rowe;Inglaterra;Jamaica;11;30/04/2003;fc_bologna
Extremo izquierdo;Nicolò Cambiaghi;Italia;;28;28/12/2000;fc_bologna
Extremo izquierdo;Benja Domínguez;Argentina;;30;19/09/2003;fc_bologna
Extremo derecho;Riccardo Orsolini;Italia;;7;24/01/1997;fc_bologna
Extremo derecho;Federico Bernardeschi;Italia;;10;16/02/1994;fc_bologna
Delantero centro;Santiago Castro;Argentina;Italia;9;18/09/2004;fc_bologna
Delantero centro;Thijs Dallinga;Países Bajos;;24;03/08/2000;fc_bologna
Portero;David de Gea;España;;43;07/11/1990;ac_florenz
Portero;Oliver Christensen;Dinamarca;;53;22/03/1999;ac_florenz
Portero;Luca Lezzerini;Italia;;1;24/03/1995;ac_florenz
Defensa central;Pietro Comuzzo;Italia;;15;20/02/2005;ac_florenz
Defensa central;Marin Pongracic;Croacia;Alemania;5;11/09/1997;ac_florenz
Defensa central;Luca Ranieri;Italia;;6;23/04/1999;ac_florenz
Defensa central;Eddy Kouadio;Italia;Costa de Marfil;60;07/05/2006;ac_florenz
Defensa central;Daniele Rugani;Italia;;3;29/07/1994;ac_florenz
Defensa central;Eman Košpo;Bosnia y Herzegovina;Suiza;23;17/05/2007;ac_florenz
Lateral izquierdo;Niccolò Fortini;Italia;;29;13/02/2006;ac_florenz
Lateral izquierdo;Fabiano Parisi;Italia;;65;09/11/2000;ac_florenz
Lateral izquierdo;Robin Gosens;Alemania;Países Bajos;21;05/07/1994;ac_florenz
Lateral izquierdo;Luis Balbo;Venezuela;Portugal;62;28/03/2006;ac_florenz
Lateral derecho;Dodô;Brasil;;2;17/11/1998;ac_florenz
Lateral derecho;Tariq Lamptey;Ghana;Inglaterra;48;30/09/2000;ac_florenz
Pivote;Rolando Mandragora;Italia;;8;29/06/1997;ac_florenz
Mediocentro;Nicolò Fagioli;Italia;;44;12/02/2001;ac_florenz
Mediocentro;Cher Ndour;Italia;Senegal;27;27/07/2004;ac_florenz
Mediocentro;Marco Brescianini;Italia;;4;20/01/2000;ac_florenz
Mediocentro;Jacopo Fazzini;Italia;;22;16/03/2003;ac_florenz
Mediocentro ofensivo;Giovanni Fabbian;Italia;;80;14/01/2003;ac_florenz
Mediocentro ofensivo;Abdelhamid Sabiri;Marruecos;Alemania;11;28/11/1996;ac_florenz
Extremo izquierdo;Manor Solomon;Israel;Portugal;19;24/07/1999;ac_florenz
Extremo izquierdo;Jack Harrison;Inglaterra;;17;20/11/1996;ac_florenz
Mediapunta;Albert Gudmundsson;Islandia;;10;15/06/1997;ac_florenz
Delantero centro;Moise Kean;Italia;Costa de Marfil;20;28/02/2000;ac_florenz
Delantero centro;Roberto Piccoli;Italia;;91;27/01/2001;ac_florenz
Portero;Edoardo Motta;Italia;;40;13/01/2005;lazio_rom
Portero;Ivan Provedel;Italia;;94;17/03/1994;lazio_rom
Portero;Alessio Furlanetto;Italia;;55;07/02/2002;lazio_rom
Defensa central;Mario Gila;España;;34;29/08/2000;lazio_rom
Defensa central;Oliver Provstgaard;Dinamarca;;25;04/06/2003;lazio_rom
Defensa central;Alessio Romagnoli;Italia;;13;12/01/1995;lazio_rom
Defensa central;Samuel Gigot;Francia;;2;12/10/1993;lazio_rom
Defensa central;Patric;España;;4;17/04/1993;lazio_rom
Lateral izquierdo;Nuno Tavares;Portugal;Cabo Verde;17;26/01/2000;lazio_rom
Lateral izquierdo;Luca Pellegrini;Italia;;3;07/03/1999;lazio_rom
Lateral derecho;Adam Marusic;Montenegro;Serbia;77;17/10/1992;lazio_rom
Lateral derecho;Manuel Lazzari;Italia;;29;29/11/1993;lazio_rom
Lateral derecho;Elseid Hysaj;Albania;;23;02/02/1994;lazio_rom
Pivote;Nicolò Rovella;Italia;;6;04/12/2001;lazio_rom
Pivote;Reda Belahyane;Marruecos;Francia;21;01/06/2004;lazio_rom
Pivote;Danilo Cataldi;Italia;;32;06/08/1994;lazio_rom
Mediocentro;Kenneth Taylor;Países Bajos;;24;16/05/2002;lazio_rom
Mediocentro;Fisayo Dele-Bashiru;Nigeria;Inglaterra;7;06/02/2001;lazio_rom
Mediocentro;Toma Bašić;Croacia;;26;25/11/1996;lazio_rom
Mediocentro ofensivo;Daniel Maldini;Italia;Venezuela;27;11/10/2001;lazio_rom
Mediocentro ofensivo;Adrian Przyborek;Polonia;;28;01/01/2007;lazio_rom
Extremo izquierdo;Mattia Zaccagni;Italia;;10;16/06/1995;lazio_rom
Extremo derecho;Gustav Isaksen;Dinamarca;;18;19/04/2001;lazio_rom
Extremo derecho;Tijjani Noslin;Países Bajos;Surinam;14;07/07/1999;lazio_rom
Extremo derecho;Matteo Cancellieri;Italia;;22;12/02/2002;lazio_rom
Extremo derecho;Pedro;España;;9;28/07/1987;lazio_rom
