pos;name;pais;num;edad
Portero;David de Gea ;España;43;07/11/1990
Portero;Oliver Christensen;Dinamarca;53;22/03/1999
Portero;Luca Lezzerini ;Italia;1;24/03/1995
Defensa central;Pietro Comuzzo;Italia;15;20/02/2005
Defensa central;Marin Pongracic;Croacia;5;11/09/1997
Defensa central;Luca Ranieri;Italia;6;23/04/1999
Defensa central;Eddy Kouadio;Italia;60;07/05/2006
Defensa central;Daniele Rugani;Italia;3;29/07/1994
Defensa central;Eman Košpo;Bosnia y Herzegovina;23;17/05/2007
Lateral izquierdo;Niccolò Fortini;Italia;29;13/02/2006
Lateral izquierdo;Robin Gosens;Alemania;21;05/07/1994
Lateral izquierdo;Fabiano Parisi;Italia;65;09/11/2000
Lateral izquierdo;Luis Balbo;Venezuela;62;28/03/2006
Lateral derecho;Dodô;Brasil;2;17/11/1998
Lateral derecho;Tariq Lamptey;Ghana;48;30/09/2000
Pivote;Rolando Mandragora;Italia;8;29/06/1997
Mediocentro;Nicolò Fagioli;Italia;44;12/02/2001
Mediocentro;Jacopo Fazzini;Italia;22;16/03/2003
Mediocentro;Marco Brescianini;Italia;4;20/01/2000
Mediocentro;Cher Ndour;Italia;27;27/07/2004
Mediocentro ofensivo;Giovanni Fabbian;Italia;80;14/01/2003
Mediocentro ofensivo;Abdelhamid Sabiri;Marruecos;11;28/11/1996
Extremo izquierdo;Jack Harrison;Inglaterra;17;20/11/1996
Extremo izquierdo;Manor Solomon;Israel;19;24/07/1999
Mediapunta;Albert Gudmundsson;Islandia;10;15/06/1997
Delantero centro;Moise Kean;Italia;20;28/02/2000
Delantero centro;Roberto Piccoli;Italia;91;27/01/2001
