pos;name;pais;num;edad
Portero;Mike Maignan ;Francia;16;03/07/1995
Portero;Pietro Terracciano;Italia;1;08/03/1990
Portero;Lorenzo Torriani;Italia;96;31/01/2005
Defensa central;Strahinja Pavlović;Serbia;31;24/05/2001
Defensa central;Koni De Winter;Bélgica;5;12/06/2002
Defensa central;Fikayo Tomori;Inglaterra;23;19/12/1997
Defensa central;Matteo Gabbia ;Italia;46;21/10/1999
Defensa central;David Odogu;Alemania;27;03/06/2006
Lateral izquierdo;Davide Bartesaghi;Italia;33;29/12/2005
Lateral izquierdo;Pervis Estupiñán;Ecuador;2;21/01/1998
Lateral derecho;Zachary Athekame;Suiza;24;13/12/2004
Pivote;Ardon Jashari;Suiza;30;30/07/2002
Pivote;Youssouf Fofana;Francia;19;10/01/1999
Pivote;Samuele Ricci;Italia;4;21/08/2001
Mediocentro;Adrien Rabiot;Francia;12;03/04/1995
Mediocentro;Ruben Loftus-Cheek ;Inglaterra;8;23/01/1996
Mediocentro;Luka Modrić;Croacia;14;09/09/1985
Interior derecho;Alexis Saelemaekers;Bélgica;56;27/06/1999
Extremo izquierdo;Rafael Leão;Portugal;10;10/06/1999
Extremo derecho;Christian Pulisic;Estados Unidos;11;18/09/1998
Delantero centro;Christopher Nkunku;Francia;18;14/11/1997
Delantero centro;Santiago Gimenez;México;7;18/04/2001
Delantero centro;Niclas Füllkrug;Alemania;9;09/02/1993
