pos;name;pais;num;edad
Portero;Adrian Semper;Croacia;1;12/01/1998
Portero;Simone Scuffet ;Italia;22;31/05/1996
Portero;Nícolas;Brasil;12;12/04/1988
Defensa central;Simone Canestrelli;Italia;5;11/09/2000
Defensa central;Rosen Bozhinov;Bulgaria;2;23/01/2005
Defensa central;Francesco Coppola;Italia;26;11/04/2005
Defensa central;Raúl Albiol;España;39;04/09/1985
Defensa central;Arturo Calabresi;Italia;33;17/03/1996
Defensa central;Antonio Caracciolo ;Italia;4;30/06/1990
Defensa central;Daniel Denoon ;Suiza;44;28/01/2004
Pivote;Marius Marin;Rumania;6;30/08/1998
Pivote;Malthe Højholt;Dinamarca;8;16/04/2001
Mediocentro;Felipe Loyola;Chile;35;09/11/2000
Mediocentro;Ebenezer Akinsanmiro;Nigeria;14;25/11/2004
Mediocentro;İsak Vural;Turquía;21;28/05/2006
Mediocentro;Michel Aebischer;Suiza;20;06/01/1997
Mediocentro;Gabriele Piccinini;Italia;36;06/04/2001
Interior derecho;Idrissa Touré;Alemania;15;29/04/1998
Interior derecho;Juan Cuadrado;Colombia;11;26/05/1988
Interior izquierdo;Samuel Iling-Junior;Inglaterra;19;04/10/2003
Interior izquierdo;Samuele Angori;Italia;3;07/10/2003
Mediocentro ofensivo;Lorran;Brasil;99;04/07/2006
Mediocentro ofensivo;Matteo Tramoni;Francia;10;20/01/2000
Mediocentro ofensivo;Calvin Stengs;Países Bajos;23;18/12/1998
Extremo derecho;Mehdi Léris;Argelia;7;23/05/1998
Delantero centro;Rafiu Durosinmi;Nigeria;17;01/01/2003
Delantero centro;Henrik Meister;Dinamarca;9;13/11/2003
Delantero centro;Filip Stojilkovic;Suiza;81;04/01/2000
Delantero centro;Stefano Moreo;Italia;32;30/06/1993
