pos;name;pais;num;edad
Portero;Mile Svilar;Serbia;99;27/08/1999
Portero;Pierluigi Gollini ;Italia;95;18/03/1995
Portero;Radoslaw Zelezny;Polonia;91;06/09/2006
Defensa central;Evan Ndicka;Costa de Marfil;5;20/08/1999
Defensa central;Gianluca Mancini;Italia;23;17/04/1996
Defensa central;Daniele Ghilardi;Italia;87;06/01/2003
Defensa central;Jan Ziolkowski;Polonia;24;05/06/2005
Defensa central;Mario Hermoso;España;22;18/06/1995
Lateral izquierdo;Angeliño;España;3;04/01/1997
Lateral izquierdo;Konstantinos Tsimikas;Grecia;12;12/05/1996
Lateral derecho;Wesley;Brasil;43;06/09/2003
Lateral derecho;Zeki Çelik;Turquía;19;17/02/1997
Lateral derecho;Devyne Rensch;Países Bajos;2;18/01/2003
Pivote;Bryan Cristante ;Italia;4;03/03/1995
Mediocentro;Manu Koné;Francia;17;17/05/2001
Mediocentro;Neil El Aynaoui;Marruecos;8;02/07/2001
Mediocentro;Niccolò Pisilli;Italia;61;23/09/2004
Mediocentro ofensivo;Lorenzo Pellegrini;Italia;7;19/06/1996
Extremo izquierdo;Bryan Zaragoza;España;97;09/09/2001
Extremo izquierdo;Stephan El Shaarawy;Italia;92;27/10/1992
Extremo derecho;Matías Soulé ;Argentina;18;15/04/2003
Extremo derecho;Lorenzo Venturino;Italia;20;22/06/2006
Mediapunta;Paulo Dybala ;Argentina;21;15/11/1993
Delantero centro;Evan Ferguson ;Irlanda;11;19/10/2004
Delantero centro;Donyell Malen;Países Bajos;14;19/01/1999
Delantero centro;Artem Dovbyk ;Ucrania;9;21/06/1997
Delantero centro;Robinio Vaz;Francia;78;17/02/2007
