pos;name;pais;num;edad
Portero;Marco Carnesecchi;Italia;29;01/07/2000
Portero;Marco Sportiello;Italia;57;10/05/1992
Portero;Francesco Rossi;Italia;31;27/04/1991
Defensa central;Isak Hien;Suecia;4;13/01/1999
Defensa central;Giorgio Scalvini  ;Italia;42;11/12/2003
Defensa central;Honest Ahanor;Nigeria;69;23/02/2008
Defensa central;Odilon Kossounou;Costa de Marfil;3;04/01/2001
Defensa central;Sead Kolasinac;Bosnia y Herzegovina;23;20/06/1993
Defensa central;Berat Djimsiti;Albania;19;19/02/1993
Pivote;Marten de Roon ;Países Bajos;15;29/03/1991
Mediocentro;Éderson ;Brasil;13;07/07/1999
Mediocentro;Yunus Musah;Estados Unidos;6;29/11/2002
Mediocentro;Mario Pašalić;Croacia;8;09/02/1995
Interior derecho;Raoul Bellanova;Italia;16;17/05/2000
Interior derecho;Davide Zappacosta;Italia;77;11/06/1992
Interior izquierdo;Nicola Zalewski;Polonia;59;23/01/2002
Interior izquierdo;Mitchel Bakker;Países Bajos;5;20/06/2000
Interior izquierdo;Lorenzo Bernasconi;Italia;47;16/11/2003
Mediocentro ofensivo;Charles De Ketelaere ;Bélgica;17;10/03/2001
Mediocentro ofensivo;Lazar Samardžić;Serbia;10;24/02/2002
Extremo izquierdo;Kamaldeen Sulemana;Ghana;7;15/02/2002
Mediapunta;Giacomo Raspadori ;Italia;18;18/02/2000
Delantero centro;Gianluca Scamacca;Italia;9;01/01/1999
Delantero centro;Nikola Krstović;Montenegro;90;05/04/2000
