pos;name;pais;num;edad
Portero;Elia Caprile;Italia;1;25/08/2001
Portero;Alen Sherri;Albania;12;15/12/1997
Portero;Giuseppe Ciocci;Italia;24;24/01/2002
Defensa central;Alberto Dossena;Italia;22;13/10/1998
Defensa central;Juan Rodríguez;Uruguay;15;30/05/2005
Defensa central;Adam Obert;Eslovaquia;33;23/08/2002
Defensa central;Yerry Mina ;Colombia;26;23/09/1994
Defensa central;Zé Pedro;Portugal;32;06/06/1997
Lateral izquierdo;Riyad Idrissi;Italia;3;13/06/2005
Lateral derecho;Marco Palestra;Italia;2;03/03/2005
Lateral derecho;Gabriele Zappa;Italia;28;22/12/1999
Lateral derecho;Othniël Raterink;Países Bajos;18;07/04/2006
Pivote;Ibrahim Sulemana;Ghana;25;22/05/2003
Mediocentro;Michel Adopo;Francia;8;19/07/2000
Mediocentro;Michael Folorunsho;Italia;90;07/02/1998
Mediocentro;Joseph Liteta;Zambia;27;22/02/2006
Mediocentro;Alessandro Deiola ;Italia;14;01/08/1995
Mediocentro;Luca Mazzitelli ;Italia;4;15/11/1995
Mediocentro ofensivo;Gianluca Gaetano ;Italia;10;05/05/2000
Extremo izquierdo;Mattia Felici ;Italia;17;17/04/2001
Extremo izquierdo;Agustín Albarracín;Uruguay;20;29/08/2005
Mediapunta;Sebastiano Esposito;Italia;94;02/07/2002
Delantero centro;Semih Kılıçsoy;Turquía;9;15/08/2005
Delantero centro;Gennaro Borrelli ;Italia;29;10/03/2000
Delantero centro;Andrea Belotti ;Italia;19;20/12/1993
Delantero centro;Yael Trepy;Francia;37;20/05/2006
Delantero centro;Leonardo Pavoletti ;Italia;30;26/11/1988
