pos;name;pais;num;edad
Portero;Jean Butez;Francia;1;08/06/1995
Portero;Noel Törnqvist;Suecia;21;01/02/2002
Portero;Nikola Cavlina;Croacia;44;02/06/2002
Portero;Henrique Menke;Brasil;12;12/01/2007
Portero;Mauro Vigorito;Italia;22;22/05/1990
Defensa central;Jacobo Ramón;España;14;06/01/2005
Defensa central;Diego Carlos;Brasil;34;15/03/1993
Defensa central;Marc Oliver Kempf;Alemania;2;28/01/1995
Defensa central;Edoardo Goldaniga;Italia;5;02/11/1993
Lateral izquierdo;Álex Valle;España;3;25/04/2004
Lateral izquierdo;Alberto Moreno;España;18;05/07/1992
Lateral derecho;Ignace Van der Brempt;Bélgica;77;01/04/2002
Lateral derecho;Mërgim Vojvoda;Kosovo;31;01/02/1995
Lateral derecho;Ivan Smolcic;Croacia;28;17/08/2000
Pivote;Máximo Perrone;Argentina;23;07/01/2003
Mediocentro;Maxence Caqueret;Francia;6;15/02/2000
Mediocentro;Lucas Da Cunha ;Francia;33;09/06/2001
Mediocentro;Sergi Roberto;España;8;07/02/1992
Mediocentro;Adrian Lahdo;Suecia;15;26/12/2007
Mediocentro ofensivo;Nico Paz;Argentina;10;08/09/2004
Mediocentro ofensivo;Martin Baturina;Croacia;20;16/02/2003
Extremo izquierdo;Jesús Rodríguez;España;17;21/11/2005
Extremo izquierdo;Assane Diao ;Senegal;38;07/09/2005
Extremo derecho;Jayden Addai ;Países Bajos;42;26/08/2005
Extremo derecho;Nicolas Kühn;Alemania;19;01/01/2000
Delantero centro;Anastasios Douvikas;Grecia;11;02/08/1999
Delantero centro;Álvaro Morata;España;7;23/10/1992
