pos;name;pais;num;edad
Portero;Lukasz Skorupski;Polonia;1;05/05/1991
Portero;Federico Ravaglia;Italia;13;11/11/1999
Portero;Massimo Pessina;Italia;25;25/12/2007
Defensa central;Jhon Lucumí;Colombia;26;26/06/1998
Defensa central;Torbjørn Heggem ;Noruega;14;12/01/1999
Defensa central;Martin Vitík;República Checa;41;21/01/2003
Defensa central;Eivind Helland;Noruega;5;25/04/2005
Defensa central;Nicolò Casale;Italia;16;14/02/1998
Defensa central;Kevin Bonifazi;Italia;-;19/05/1996
Lateral izquierdo;Juan Miranda ;España;33;19/01/2000
Lateral izquierdo;Charalampos Lykogiannis;Grecia;22;22/10/1993
Lateral derecho;Nadir Zortea;Italia;20;19/06/1999
Lateral derecho;Lorenzo De Silvestri ;Italia;29;23/05/1988
Pivote;Nikola Moro;Croacia;6;12/03/1998
Mediocentro;Lewis Ferguson;Escocia;19;24/08/1999
Mediocentro;Tommaso Pobega;Italia;4;15/07/1999
Mediocentro;Simon Sohm;Suiza;23;11/04/2001
Mediocentro;Remo Freuler;Suiza;8;15/04/1992
Interior derecho;João Mário;Portugal;17;03/01/2000
Mediocentro ofensivo;Jens Odgaard;Dinamarca;21;31/03/1999
Extremo izquierdo;Nicolò Cambiaghi;Italia;28;28/12/2000
Extremo izquierdo;Jonathan Rowe;Inglaterra;11;30/04/2003
Extremo izquierdo;Benja Domínguez;Argentina;30;19/09/2003
Extremo derecho;Riccardo Orsolini;Italia;7;24/01/1997
Extremo derecho;Federico Bernardeschi;Italia;10;16/02/1994
Delantero centro;Santiago Castro;Argentina;9;18/09/2004
Delantero centro;Thijs Dallinga;Países Bajos;24;03/08/2000
