pos;name;pais;num;edad
Portero;Franco Israel;Uruguay;81;22/04/2000
Portero;Alberto Paleari;Italia;1;29/08/1992
Portero;Lapo Siviero;Italia;99;23/11/2006
Defensa central;Saúl Coco;Guinea Ecuatorial;23;09/02/1999
Defensa central;Luca Marianucci;Italia;35;23/07/2004
Defensa central;Ardian Ismajli;Albania;44;30/09/1996
Defensa central;Guillermo Maripán;Chile;13;06/05/1994
Defensa central;Enzo Ebosse;Camerún;77;11/03/1999
Defensa central;Saba Sazonov;Georgia;15;01/02/2002
Lateral izquierdo;Niels Nkounkou;Francia;25;01/11/2000
Lateral izquierdo;Rafa Obrador;España;33;24/02/2004
Lateral izquierdo;Cristiano Biraghi;Italia;34;01/09/1992
Lateral derecho;Marcus Pedersen;Noruega;16;16/07/2000
Pivote;Matteo Prati;Italia;4;28/12/2003
Pivote;Adrien Tamèze;Francia;61;04/02/1994
Mediocentro;Cesare Casadei;Italia;22;10/01/2003
Mediocentro;Ivan Ilić;Serbia;8;17/03/2001
Mediocentro;Gvidas Gineitis;Lituania;66;15/04/2004
Mediocentro;Emirhan İlkhan;Turquía;6;01/06/2004
Interior derecho;Valentino Lazaro;Austria;20;24/03/1996
Mediocentro ofensivo;Nikola Vlašić;Croacia;10;04/10/1997
Mediocentro ofensivo;Tino Anjorin;Inglaterra;14;23/11/2001
Mediocentro ofensivo;Sergiu Perciun;Moldavia;83;23/04/2006
Extremo izquierdo;Alieu Njie;Suecia;92;14/05/2005
Extremo derecho;Zakaria Aboukhlal ;Marruecos;7;18/02/2000
Extremo derecho;Zanos Savva ;Chipre;79;26/11/2005
Delantero centro;Ché Adams;Escocia;19;13/07/1996
Delantero centro;Giovanni Simeone;Argentina;18;05/07/1995
Delantero centro;Sandro Kulenović;Croacia;17;04/12/1999
Delantero centro;Duván Zapata ;Colombia;91;01/04/1991
