pos;name;pais;num;edad
Portero;Justin Bijlow;Países Bajos;16;22/01/1998
Portero;Nicola Leali;Italia;1;17/02/1993
Portero;Benjamin Siegrist;Suiza;31;31/01/1992
Portero;Ernestas Lysionok;Lituania;35;09/03/2007
Portero;Daniele Sommariva;Italia;39;18/07/1997
Defensa central;Johan Vásquez ;México;22;22/10/1998
Defensa central;Leo Østigård;Noruega;5;28/11/1999
Defensa central;Nils Zätterström;Suecia;13;29/03/2005
Defensa central;Alessandro Marcandalli;Italia;27;25/10/2002
Defensa central;Sebastian Otoa ;Dinamarca;34;13/05/2004
Lateral izquierdo;Aarón Martín;España;3;22/04/1997
Lateral derecho;Brooke Norton-Cuffy ;Inglaterra;15;12/01/2004
Lateral derecho;Stefano Sabelli;Italia;20;13/01/1993
Pivote;Morten Frendrup;Dinamarca;32;07/04/2001
Pivote;Jean Onana;Camerún;14;08/01/2000
Mediocentro;Patrizio Masini;Italia;73;27/01/2001
Mediocentro;Mikael Egill Ellertsson;Islandia;77;11/03/2002
Mediocentro;Amorim;Brasil;4;18/05/2005
Mediocentro;Ruslan Malinovskyi;Ucrania;17;04/05/1993
Mediocentro ofensivo;Tommaso Baldanzi;Italia;8;23/03/2003
Extremo izquierdo;Maxwel Cornet;Costa de Marfil;70;27/09/1996
Extremo derecho;Junior Messias;Brasil;10;13/05/1991
Delantero centro;Vitinha;Portugal;9;15/03/2000
Delantero centro;Jeff Ekhator;Italia;21;11/11/2006
Delantero centro;Lorenzo Colombo;Italia;29;08/03/2002
Delantero centro;Caleb Ekuban;Ghana;18;23/03/1994
