pos;name;pais;num;edad
Portero;Lorenzo Montipò;Italia;1;20/02/1996
Portero;Simone Perilli;Italia;34;07/01/1995
Portero;Giacomo Toniolo;Italia;94;01/04/2004
Portero;Arthur Borghi;Brasil;47;27/07/2007
Defensa central;Victor Nelsson;Dinamarca;15;14/10/1998
Defensa central;Armel Bella-Kotchap;Alemania;37;11/12/2001
Defensa central;Nicolás Valentini;Argentina;6;06/04/2001
Defensa central;Tobias Slotsager;Dinamarca;19;01/01/2006
Defensa central;Andrias Edmundsson;Islas Feroe;5;18/12/2000
Lateral izquierdo;Martin Frese;Dinamarca;3;04/01/1998
Lateral izquierdo;Domagoj Bradarić;Croacia;12;10/12/1999
Lateral derecho;Rafik Belghali;Argelia;7;07/06/2002
Lateral derecho;Pol Lirola;España;14;13/08/1997
Lateral derecho;Fallou Cham;Gambia;70;14/02/2006
Lateral derecho;Daniel Oyegoke;Inglaterra;2;03/01/2003
Pivote;Moatasem Al-Musrati;Libia;73;06/04/1996
Pivote;Cheikh Niasse;Senegal;36;19/01/2000
Mediocentro;Sandi Lovrić;Eslovenia;4;28/03/1998
Mediocentro;Suat Serdar  ;Alemania;8;11/04/1997
Mediocentro;Antoine Bernede ;Francia;24;26/05/1999
Mediocentro;Abdou Harroui;Marruecos;21;13/01/1998
Mediocentro;Roberto Gagliardini;Italia;63;07/04/1994
Mediocentro;Jean-Daniel Akpa Akpro;Costa de Marfil;11;11/10/1992
Mediocentro ofensivo;Tomas Suslov;Eslovaquia;10;07/06/2002
Delantero centro;Gift Orban;Nigeria;16;17/07/2002
Delantero centro;Amin Sarr;Suecia;9;11/03/2001
Delantero centro;Kieron Bowie;Escocia;18;21/09/2002
Delantero centro;Daniel Mosquera;Colombia;25;20/10/1999
Delantero centro;Isaac;Brasil;41;26/03/2004
Delantero centro;Junior Ajayi;Costa de Marfil;72;11/10/2004
