pos;name;pais;num;edad
Portero;Josep Martínez;España;13;27/05/1998
Portero;Yann Sommer;Suiza;1;17/12/1988
Portero;Raffaele Di Gennaro;Italia;12;03/10/1993
Defensa central;Alessandro Bastoni;Italia;95;13/04/1999
Defensa central;Yann Bisseck;Alemania;31;29/11/2000
Defensa central;Manuel Akanji;Suiza;25;19/07/1995
Defensa central;Stefan de Vrij;Países Bajos;6;05/02/1992
Defensa central;Francesco Acerbi;Italia;15;10/02/1988
Lateral izquierdo;Federico Dimarco;Italia;32;10/11/1997
Lateral izquierdo;Carlos Augusto;Brasil;30;07/01/1999
Lateral derecho;Denzel Dumfries;Países Bajos;2;18/04/1996
Lateral derecho;Matteo Darmian;Italia;36;02/12/1989
Pivote;Hakan Çalhanoğlu;Turquía;20;08/02/1994
Mediocentro;Nicolò Barella;Italia;23;07/02/1997
Mediocentro;Petar Sučić;Croacia;8;25/10/2003
Mediocentro;Davide Frattesi;Italia;16;22/09/1999
Mediocentro;Andy Diouf;Francia;17;17/05/2003
Mediocentro;Piotr Zieliński;Polonia;7;20/05/1994
Mediocentro;Henrikh Mkhitaryan;Armenia;22;21/01/1989
Interior derecho;Luis Henrique;Brasil;11;14/12/2001
Delantero centro;Lautaro Martínez  ;Argentina;10;22/08/1997
Delantero centro;Marcus Thuram;Francia;9;06/08/1997
Delantero centro;Ange-Yoan Bonny;Francia;14;25/10/2003
Delantero centro;Pio Esposito;Italia;94;28/06/2005
