pos;name;pais;num;edad
Portero;Michele Di Gregorio;Italia;16;27/07/1997
Portero;Mattia Perin;Italia;1;10/11/1992
Portero;Carlo Pinsoglio;Italia;23;16/03/1990
Defensa central;Bremer;Brasil;3;18/03/1997
Defensa central;Pierre Kalulu;Francia;15;05/06/2000
Defensa central;Federico Gatti;Italia;4;24/06/1998
Defensa central;Lloyd Kelly;Inglaterra;6;06/10/1998
Lateral izquierdo;Juan Cabal;Colombia;32;08/01/2001
Lateral derecho;Emil Holm ;Suecia;2;13/05/2000
Pivote;Manuel Locatelli ;Italia;5;08/01/1998
Mediocentro;Khéphren Thuram;Francia;19;26/03/2001
Mediocentro;Weston McKennie;Estados Unidos;22;28/08/1998
Mediocentro;Fabio Miretti;Italia;21;03/08/2003
Interior izquierdo;Andrea Cambiaso;Italia;27;20/02/2000
Interior izquierdo;Filip Kostić;Serbia;18;01/11/1992
Mediocentro ofensivo;Teun Koopmeiners;Países Bajos;8;28/02/1998
Mediocentro ofensivo;Vasilije Adžić;Montenegro;17;12/05/2006
Extremo izquierdo;Kenan Yıldız;Turquía;10;04/05/2005
Extremo izquierdo;Jérémie Boga;Costa de Marfil;13;03/01/1997
Extremo derecho;Francisco Conceição;Portugal;7;14/12/2002
Extremo derecho;Edon Zhegrova;Kosovo;11;31/03/1999
Delantero centro;Loïs Openda;Bélgica;20;16/02/2000
Delantero centro;Dušan Vlahović ;Serbia;9;28/01/2000
Delantero centro;Jonathan David;Canadá;30;14/01/2000
Delantero centro;Arkadiusz Milik ;Polonia;14;28/02/1994
