pos;name;pais;num;edad
Portero;Ivan Provedel;Italia;94;17/03/1994
Portero;Edoardo Motta;Italia;40;13/01/2005
Portero;Alessio Furlanetto;Italia;55;07/02/2002
Defensa central;Mario Gila;España;34;29/08/2000
Defensa central;Alessio Romagnoli;Italia;13;12/01/1995
Defensa central;Oliver Provstgaard;Dinamarca;25;04/06/2003
Defensa central;Samuel Gigot ;Francia;2;12/10/1993
Defensa central;Patric;España;4;17/04/1993
Lateral izquierdo;Nuno Tavares;Portugal;17;26/01/2000
Lateral izquierdo;Luca Pellegrini;Italia;3;07/03/1999
Lateral derecho;Adam Marusic;Montenegro;77;17/10/1992
Lateral derecho;Manuel Lazzari;Italia;29;29/11/1993
Lateral derecho;Elseid Hysaj;Albania;23;02/02/1994
Pivote;Nicolò Rovella ;Italia;6;04/12/2001
Pivote;Reda Belahyane;Marruecos;21;01/06/2004
Pivote;Danilo Cataldi;Italia;32;06/08/1994
Mediocentro;Kenneth Taylor;Países Bajos;24;16/05/2002
Mediocentro;Toma Bašić ;Croacia;26;25/11/1996
Mediocentro ofensivo;Daniel Maldini;Italia;27;11/10/2001
Mediocentro ofensivo;Adrian Przyborek;Polonia;28;01/01/2007
Mediocentro ofensivo;Fisayo Dele-Bashiru;Nigeria;7;06/02/2001
Extremo izquierdo;Mattia Zaccagni ;Italia;10;16/06/1995
Extremo derecho;Gustav Isaksen;Dinamarca;18;19/04/2001
Extremo derecho;Tijjani Noslin;Países Bajos;14;07/07/1999
Extremo derecho;Matteo Cancellieri;Italia;22;12/02/2002
Extremo derecho;Pedro;España;9;28/07/1987
Delantero centro;Boulaye Dia;Senegal;19;16/11/1996
Delantero centro;Petar Ratkov;Serbia;20;18/08/2003
