pos;name;pais;num;edad
Portero;Zion Suzuki;Japón;31;21/08/2002
Portero;Edoardo Corvi;Italia;40;23/03/2001
Portero;Filippo Rinaldi;Italia;66;04/12/2002
Defensa central;Alessandro Circati;Australia;39;10/10/2003
Defensa central;Abdoulaye Ndiaye ;Senegal;3;10/04/2002
Defensa central;Mariano Troilo;Argentina;37;28/06/2003
Defensa central;Lautaro Valenti;Argentina;5;14/01/1999
Lateral izquierdo;Emanuele Valeri;Italia;14;07/12/1998
Lateral izquierdo;Franco Carboni;Argentina;29;04/04/2003
Lateral derecho;Sascha Britschgi ;Suiza;27;27/08/2006
Lateral derecho;Enrico Delprato ;Italia;15;10/11/1999
Pivote;Mandela Keita;Bélgica;16;10/05/2002
Pivote;Nahuel Estévez;Argentina;8;14/11/1995
Mediocentro;Adrián Bernabé;España;10;26/05/2001
Mediocentro;Oliver Sørensen;Dinamarca;22;10/03/2002
Mediocentro;Hans Nicolussi Caviglia;Italia;41;18/06/2000
Mediocentro;Christian Ordóñez;Argentina;24;24/07/2004
Mediocentro;Benja Cremaschi;Estados Unidos;25;02/03/2005
Mediocentro ofensivo;Gaetano Oristanio;Italia;21;28/09/2002
Extremo izquierdo;Jacob Ondrejka;Suecia;17;02/09/2002
Extremo derecho;Gabriel Strefezza;Brasil;7;18/04/1997
Extremo derecho;Pontus Almqvist ;Suecia;11;10/07/1999
Delantero centro;Mateo Pellegrino;Argentina;9;22/10/2001
Delantero centro;Matija Frigan;Croacia;20;11/02/2003
Delantero centro;Nesta Elphege;Francia;23;09/01/2001
