pos;name;pais;num;edad
Portero;Vanja Milinković-Savić;Serbia;32;20/02/1997
Portero;Alex Meret;Italia;1;22/03/1997
Portero;Nikita Contini;Italia;14;21/05/1996
Portero;Mathias Ferrante;Italia;25;01/09/2006
Defensa central;Alessandro Buongiorno;Italia;4;06/06/1999
Defensa central;Sam Beukema;Países Bajos;31;17/11/1998
Defensa central;Amir Rrahmani ;Kosovo;13;24/02/1994
Defensa central;Juan Jesus;Brasil;5;10/06/1991
Lateral izquierdo;Mathías Olivera;Uruguay;17;31/10/1997
Lateral izquierdo;Miguel Gutiérrez;España;3;27/07/2001
Lateral izquierdo;Leonardo Spinazzola;Italia;37;25/03/1993
Lateral derecho;Giovanni Di Lorenzo  ;Italia;22;04/08/1993
Lateral derecho;Pasquale Mazzocchi;Italia;30;27/07/1995
Pivote;Billy Gilmour;Escocia;6;11/06/2001
Pivote;Stanislav Lobotka ;Eslovaquia;68;25/11/1994
Mediocentro;Scott McTominay ;Escocia;8;08/12/1996
Mediocentro;Frank Anguissa;Camerún;99;16/11/1995
Mediocentro ofensivo;Kevin De Bruyne;Bélgica;11;28/06/1991
Mediocentro ofensivo;Eljif Elmas;Macedonia del Norte;20;24/09/1999
Mediocentro ofensivo;Antonio Vergara;Italia;26;16/01/2003
Extremo izquierdo;Alisson Santos;Brasil;27;27/09/2002
Extremo derecho;David Neres ;Brasil;7;03/03/1997
Extremo derecho;Matteo Politano;Italia;21;03/08/1993
Delantero centro;Rasmus Højlund;Dinamarca;19;04/02/2003
Delantero centro;Romelu Lukaku;Bélgica;9;13/05/1993
Delantero centro;Giovane;Brasil;23;24/11/2003
