pos;name;pais;num;edad
Portero;Maduka Okoye;Nigeria;40;28/08/1999
Portero;Răzvan Sava;Rumania;90;21/06/2002
Portero;Alessandro Nunziante;Italia;1;14/03/2007
Portero;Daniele Padelli;Italia;93;25/10/1985
Defensa central;Oumar Solet ;Francia;28;07/02/2000
Defensa central;Thomas Kristensen;Dinamarca;31;17/01/2002
Defensa central;Nicolò Bertola ;Italia;13;23/03/2003
Defensa central;Branimir Mlacic;Croacia;22;12/03/2007
Defensa central;Christian Kabasele;Bélgica;27;24/02/1991
Lateral izquierdo;Jordan Zemura;Zimbabue;33;14/11/1999
Lateral izquierdo;Hassane Kamara;Costa de Marfil;11;05/03/1994
Lateral derecho;Alessandro Zanoli ;Italia;59;03/10/2000
Lateral derecho;Kingsley Ehizibue;Países Bajos;19;25/05/1995
Pivote;Jesper Karlström ;Suecia;8;21/06/1995
Pivote;Abdoulaye Camara;Francia;29;28/09/2008
Mediocentro;Arthur Atta;Francia;14;14/01/2003
Mediocentro;Lennon Miller;Escocia;38;25/08/2006
Mediocentro;Jurgen Ekkelenkamp;Países Bajos;32;05/04/2000
Mediocentro;Jakub Piotrowski;Polonia;24;04/10/1997
Mediocentro;Oier Zarraga;España;6;04/01/1999
Interior izquierdo;Juan Arizala;Colombia;20;10/10/2005
Mediocentro ofensivo;Nicolò Zaniolo;Italia;10;02/07/1999
Delantero centro;Idrissa Gueye;Senegal;7;16/09/2006
Delantero centro;Keinan Davis;Inglaterra;9;13/02/1998
Delantero centro;Adam Buksa;Polonia;18;12/07/1996
Delantero centro;Vakoun Bayo;Costa de Marfil;15;10/01/1997
