pos;name;pais;num;edad
Portero;Emil Audero;Indonesia;1;18/01/1997
Portero;Marco Silvestri;Italia;16;02/03/1991
Portero;Lapo Nava;Italia;69;22/01/2004
Defensa central;Mikayil Faye;Senegal;30;14/07/2004
Defensa central;Filippo Terracciano;Italia;24;08/02/2003
Defensa central;Sebastiano Luperto;Italia;5;06/09/1996
Defensa central;Federico Baschirotto ;Italia;6;20/09/1996
Defensa central;Matteo Bianchetti ;Italia;15;17/03/1993
Defensa central;Francesco Folino;Italia;55;23/01/2002
Defensa central;Federico Ceccherini;Italia;23;11/05/1992
Lateral izquierdo;Giuseppe Pezzella;Italia;3;29/11/1997
Lateral derecho;Tommaso Barbieri;Italia;4;26/08/2002
Lateral derecho;Romano Floriani Mussolini;Italia;22;27/01/2003
Pivote;Alberto Grassi;Italia;33;07/03/1995
Mediocentro;Warren Bondo;Francia;38;15/09/2003
Mediocentro;Martín Payero;Argentina;32;11/09/1998
Mediocentro;Jari Vandeputte;Bélgica;27;14/02/1996
Mediocentro;Morten Thorsby;Noruega;2;05/05/1996
Mediocentro;Michele Collocolo;Italia;18;08/11/1999
Mediocentro;Youssef Maleh;Marruecos;29;22/08/1998
Interior derecho;Alessio Zerbin;Italia;7;03/03/1999
Delantero centro;Faris Moumbagna ;Camerún;14;01/07/2000
Delantero centro;Antonio Sanabria;Paraguay;99;04/03/1996
Delantero centro;Federico Bonazzoli;Italia;90;21/05/1997
Delantero centro;David Okereke;Nigeria;77;29/08/1997
Delantero centro;Milan Djuric;Bosnia y Herzegovina;9;22/05/1990
Delantero centro;Jamie Vardy;Inglaterra;10;11/01/1987
