pos;name;pais;num;edad
Portero;Wladimiro Falcone ;Italia;30;12/04/1995
Portero;Christian Früchtl;Alemania;1;28/01/2000
Portero;Jasper Samooja;Finlandia;32;21/07/2003
Defensa central;Tiago Gabriel;Portugal;44;26/12/2004
Defensa central;Jamil Siebert;Alemania;5;02/04/2002
Defensa central;Gaspar ;Angola;4;27/09/1997
Defensa central;Gaby Jean;Francia;18;19/02/2000
Defensa central;Matías Pérez;Chile;13;13/04/2005
Lateral izquierdo;Antonino Gallo;Italia;25;05/01/2000
Lateral izquierdo;Corrie Ndaba;Irlanda;3;25/12/1999
Lateral derecho;Danilo Veiga;Portugal;17;25/09/2002
Pivote;Ylber Ramadani;Albania;20;12/04/1996
Pivote;Sadik Fofana;Togo;8;16/05/2003
Pivote;Oumar Ngom;Mauritania;79;09/03/2004
Mediocentro;Medon Berisha ;Albania;10;21/10/2003
Mediocentro;Lassana Coulibaly;Malí;29;10/04/1996
Mediocentro;Thórir Jóhann Helgason;Islandia;14;28/09/2000
Mediocentro;Álex Sala;España;6;09/04/2001
Mediocentro ofensivo;Omri Gandelman;Israel;16;16/05/2000
Mediocentro ofensivo;Filip Marchwinski;Polonia;36;10/01/2002
Extremo izquierdo;Riccardo Sottil;Italia;23;03/06/1999
Extremo izquierdo;Lameck Banda;Zambia;19;29/01/2001
Extremo derecho;Santiago Pierotti;Argentina;50;03/04/2001
Extremo derecho;Konan N’Dri;Costa de Marfil;11;27/10/2000
Delantero centro;Francesco Camarda ;Italia;22;10/03/2008
Delantero centro;Nikola Stulic;Serbia;9;08/09/2001
Delantero centro;Walid Cheddira;Marruecos;99;22/01/1998
