pos;name;pais;num;edad
Portero;Arijanet Murić;Kosovo;49;07/11/1998
Portero;Stefano Turati;Italia;13;05/09/2001
Portero;Gioele Zacchi;Italia;16;10/07/2003
Portero;Giacomo Satalino;Italia;12;20/05/1999
Defensa central;Tarik Muharemović;Bosnia y Herzegovina;80;28/02/2003
Defensa central;Jay Idzes;Indonesia;21;02/06/2000
Defensa central;Fali Candé ;Guinea-Bissau;5;24/01/1998
Defensa central;Filippo Romagna ;Italia;19;26/05/1997
Defensa central;Pedro Felipe;Brasil;66;23/05/2004
Lateral izquierdo;Josh Doig;Escocia;3;18/05/2002
Lateral izquierdo;Ulisses Garcia;Suiza;23;11/01/1996
Lateral izquierdo;Edoardo Pieragnolo ;Italia;15;03/01/2003
Lateral derecho;Sebastian Walukiewicz;Polonia;6;05/04/2000
Lateral derecho;Woyo Coulibaly;Malí;25;26/05/1999
Pivote;Daniel Boloca ;Italia;11;22/12/1998
Pivote;Luca Lipani;Italia;35;18/05/2005
Pivote;Nemanja Matić;Serbia;18;01/08/1988
Mediocentro;Ismaël Koné;Canadá;90;16/06/2002
Mediocentro;Kristian Thorstvedt;Noruega;42;13/03/1999
Mediocentro;Aster Vranckx;Bélgica;40;04/10/2002
Mediocentro;Edoardo Iannoni;Italia;44;11/04/2001
Mediocentro ofensivo;Cristian Volpato;Italia;7;15/11/2003
Mediocentro ofensivo;Darryl Bakola;Francia;50;30/11/2007
Extremo izquierdo;Armand Laurienté;Francia;45;04/12/1998
Extremo izquierdo;Alieu Fadera;Gambia;20;03/11/2001
Extremo derecho;Domenico Berardi;Italia;10;01/08/1994
Delantero centro;Andrea Pinamonti;Italia;99;19/05/1999
Delantero centro;M'Bala Nzola;Angola;8;18/08/1996
Delantero centro;Luca Moro;Italia;24;25/01/2001
