pos;name;pais1;pais2;num;edad;team_name
Portero;Jonas Urbig;Alemania;;40;08/08/2003;fc_bayern_munchen
Portero;Manuel Neuer;Alemania;;1;27/03/1986;fc_bayern_munchen
Portero;Sven Ulreich;Alemania;;26;03/08/1988;fc_bayern_munchen
Portero;Leon Klanac;Alemania;Croacia;48;01/03/2007;fc_bayern_munchen
Defensa central;Dayot Upamecano;Francia;Guinea-Bissau;2;27/10/1998;fc_bayern_munchen
Defensa central;Jonathan Tah;Alemania;Costa de Marfil;4;11/02/1996;fc_bayern_munchen
Defensa central;Min-jae Kim;Corea del Sur;;3;15/11/1996;fc_bayern_munchen
Defensa central;Hiroki Ito;Japón;;21;12/05/1999;fc_bayern_munchen
Lateral izquierdo;Alphonso Davies;Canadá;Liberia;19;02/11/2000;fc_bayern_munchen
Lateral izquierdo;Raphaël Guerreiro;Portugal;Francia;22;22/12/1993;fc_bayern_munchen
Lateral derecho;Josip Stanisic;Croacia;Alemania;44;02/04/2000;fc_bayern_munchen
Lateral derecho;Konrad Laimer;Austria;;27;27/05/1997;fc_bayern_munchen
Pivote;Aleksandar Pavlovic;Alemania;Serbia;45;03/05/2004;fc_bayern_munchen
Pivote;Joshua Kimmich;Alemania;;6;08/02/1995;fc_bayern_munchen
Mediocentro;Tom Bischof;Alemania;;20;28/06/2005;fc_bayern_munchen
Mediocentro;Leon Goretzka;Alemania;;8;06/02/1995;fc_bayern_munchen
Mediocentro;Bara Sapoko Ndiaye;Senegal;;39;31/12/2007;fc_bayern_munchen
Mediocentro ofensivo;Jamal Musiala;Alemania;Inglaterra;10;26/02/2003;fc_bayern_munchen
Mediocentro ofensivo;Lennart Karl;Alemania;;42;22/02/2008;fc_bayern_munchen
Extremo izquierdo;Luis Díaz;Colombia;;14;13/01/1997;fc_bayern_munchen
Extremo derecho;Michael Olise;Francia;Inglaterra;17;12/12/2001;fc_bayern_munchen
Mediapunta;Serge Gnabry;Alemania;Costa de Marfil;7;14/07/1995;fc_bayern_munchen
Delantero centro;Harry Kane;Inglaterra;Irlanda;9;28/07/1993;fc_bayern_munchen
Delantero centro;Nicolas Jackson;Senegal;Gambia;11;20/06/2001;fc_bayern_munchen
Portero;Gregor Kobel;Suiza;;1;06/12/1997;borussia_dortmund
Portero;Alexander Meyer;Alemania;;33;13/04/1991;borussia_dortmund
Portero;Patrick Drewes;Alemania;;30;04/02/1993;borussia_dortmund
Portero;Silas Ostrzinski;Alemania;;31;19/11/2003;borussia_dortmund
Defensa central;Nico Schlotterbeck;Alemania;;4;01/12/1999;borussia_dortmund
Defensa central;Waldemar Anton;Alemania;;3;20/07/1996;borussia_dortmund
Defensa central;Ramy Bensebaini;Argelia;;5;16/04/1995;borussia_dortmund
Defensa central;Luca Reggiani;Italia;;49;09/01/2008;borussia_dortmund
Defensa central;Emre Can;Alemania;Turquía;23;12/01/1994;borussia_dortmund
Defensa central;Niklas Süle;Alemania;;25;03/09/1995;borussia_dortmund
Defensa central;Filippo Mane;Italia;Senegal;39;08/03/2005;borussia_dortmund
Lateral izquierdo;Daniel Svensson;Suecia;;24;12/02/2002;borussia_dortmund
Lateral izquierdo;Almugera Kabar;Alemania;Libia;42;06/06/2006;borussia_dortmund
Lateral derecho;Julian Ryerson;Noruega;Estados Unidos;26;17/11/1997;borussia_dortmund
Pivote;Salih Özcan;Turquía;Alemania;6;11/01/1998;borussia_dortmund
Mediocentro;Felix Nmecha;Alemania;Inglaterra;8;10/10/2000;borussia_dortmund
Mediocentro;Jobe Bellingham;Inglaterra;Irlanda;7;23/09/2005;borussia_dortmund
Mediocentro;Carney Chukwuemeka;Austria;Inglaterra;17;20/10/2003;borussia_dortmund
Mediocentro;Marcel Sabitzer;Austria;;20;17/03/1994;borussia_dortmund
Interior derecho;Yan Couto;Brasil;Portugal;2;03/06/2002;borussia_dortmund
Mediocentro ofensivo;Julian Brandt;Alemania;;10;02/05/1996;borussia_dortmund
Extremo derecho;Karim Adeyemi;Alemania;Nigeria;27;18/01/2002;borussia_dortmund
Mediapunta;Samuele Inácio;Italia;Brasil;40;02/04/2008;borussia_dortmund
