pos;name;pais;num;edad
Portero;Mark Flekken ;Países Bajos;1;13/06/1993
Portero;Jonas Omlin;Suiza;18;10/01/1994
Portero;Janis Blaswich;Alemania;28;02/05/1991
Portero;Niklas Lomb;Alemania;36;28/07/1993
Defensa central;Jarell Quansah;Inglaterra;4;29/01/2003
Defensa central;Edmond Tapsoba;Burkina Faso;12;02/02/1999
Defensa central;Loïc Badé ;Francia;5;11/04/2000
Defensa central;Axel Tape;Francia;16;10/08/2007
Defensa central;Tim Oermann;Alemania;15;06/10/2003
Defensa central;Issa Traoré;Malí;41;14/11/2007
Lateral izquierdo;Alejandro Grimaldo;España;20;20/09/1995
Lateral derecho;Arthur ;Brasil;13;17/03/2003
Lateral derecho;Lucas Vázquez ;España;21;01/07/1991
Pivote;Equi Fernández;Argentina;6;25/07/2002
Pivote;Robert Andrich ;Alemania;8;22/09/1994
Mediocentro;Exequiel Palacios;Argentina;25;05/10/1998
Mediocentro;Aleix García;España;24;28/06/1997
Mediocentro ofensivo;Malik Tillman;Estados Unidos;10;28/05/2002
Mediocentro ofensivo;Ibrahim Maza;Argelia;30;24/11/2005
Mediocentro ofensivo;Jonas Hofmann;Alemania;7;14/07/1992
Extremo izquierdo;Eliesse Ben Seghir ;Marruecos;17;16/02/2005
Extremo izquierdo;Martin Terrier;Francia;11;04/03/1997
Extremo derecho;Ernest Poku;Países Bajos;19;28/01/2004
Extremo derecho;Nathan Tella ;Nigeria;23;05/07/1999
Delantero centro;Patrik Schick ;República Checa;14;24/01/1996
Delantero centro;Christian Kofane;Camerún;35;26/07/2006
