pos;name;pais;num;edad
Portero;Gregor Kobel;Suiza;1;06/12/1997
Portero;Alexander Meyer;Alemania;33;13/04/1991
Portero;Patrick Drewes;Alemania;30;04/02/1993
Portero;Silas Ostrzinski;Alemania;31;19/11/2003
Defensa central;Nico Schlotterbeck;Alemania;4;01/12/1999
Defensa central;Waldemar Anton;Alemania;3;20/07/1996
Defensa central;Ramy Bensebaini;Argelia;5;16/04/1995
Defensa central;Emre Can  ;Alemania;23;12/01/1994
Defensa central;Niklas Süle ;Alemania;25;03/09/1995
Defensa central;Filippo Mane ;Italia;39;08/03/2005
Defensa central;Luca Reggiani;Italia;49;09/01/2008
Lateral izquierdo;Daniel Svensson;Suecia;24;12/02/2002
Lateral izquierdo;Almugera Kabar;Alemania;42;06/06/2006
Lateral derecho;Julian Ryerson;Noruega;26;17/11/1997
Pivote;Salih Özcan;Turquía;6;11/01/1998
Mediocentro;Felix Nmecha;Alemania;8;10/10/2000
Mediocentro;Jobe Bellingham;Inglaterra;7;23/09/2005
Mediocentro;Carney Chukwuemeka ;Inglaterra;17;20/10/2003
Mediocentro;Marcel Sabitzer;Austria;20;17/03/1994
Interior derecho;Yan Couto;Brasil;2;03/06/2002
Mediocentro ofensivo;Julian Brandt;Alemania;10;02/05/1996
Extremo derecho;Karim Adeyemi;Alemania;27;18/01/2002
Delantero centro;Serhou Guirassy;Guinea;9;12/03/1996
Delantero centro;Maximilian Beier;Alemania;14;17/10/2002
Delantero centro;Fábio Silva;Portugal;21;19/07/2002
