pos;name;pais;num;edad
Portero;Moritz Nicolas;Alemania;33;21/10/1997
Portero;Tiago Pereira Cardoso;Luxemburgo;42;07/04/2006
Portero;Jan Olschowsky;Alemania;23;18/11/2001
Portero;Tobias Sippel;Alemania;21;22/03/1988
Defensa central;Nico Elvedi;Suiza;30;30/09/1996
Defensa central;Kevin Diks;Indonesia;4;06/10/1996
Defensa central;Kota Takai ;Japón;14;04/09/2004
Defensa central;Fabio Chiarodia;Italia;2;05/06/2005
Defensa central;Marvin Friedrich;Alemania;5;13/12/1995
Lateral izquierdo;Lukas Ullrich;Alemania;26;16/03/2004
Lateral derecho;Joe Scally;Estados Unidos;29;31/12/2002
Pivote;Yannik Engelhardt;Alemania;6;07/02/2001
Pivote;Niklas Swider;Alemania;39;05/01/2007
Mediocentro;Rocco Reitz;Alemania;27;29/05/2002
Mediocentro;Jens Castrop;Corea del Sur;17;29/07/2003
Mediocentro;Philipp Sander;Alemania;16;21/02/1998
Mediocentro;Florian Neuhaus;Alemania;10;16/03/1997
Interior izquierdo;Hugo Bolin;Suecia;38;24/07/2003
Mediocentro ofensivo;Giovanni Reyna;Estados Unidos;13;13/11/2002
Mediocentro ofensivo;Kevin Stöger;Austria;7;27/08/1993
Mediocentro ofensivo;Wael Mohya;Alemania;36;31/12/2008
Extremo izquierdo;Robin Hack ;Alemania;25;27/08/1998
Extremo derecho;Franck Honorat;Francia;9;11/08/1996
Extremo derecho;Nathan Ngoumou ;Camerún;19;14/03/2000
Delantero centro;Tim Kleindienst  ;Alemania;11;31/08/1995
Delantero centro;Shuto Machino;Japón;18;30/09/1999
Delantero centro;Haris Tabakovic;Bosnia y Herzegovina;15;20/06/1994
Delantero centro;Alejo Sarco;Argentina;8;06/01/2006
