pos;name;pais;num;edad
Portero;Kauã Santos;Brasil;40;11/04/2003
Portero;Michael Zetterer;Alemania;23;12/07/1995
Portero;Jens Grahl;Alemania;33;22/09/1988
Portero;Amil Siljevic;Bosnia y Herzegovina;39;19/01/2007
Defensa central;Arthur Theate ;Bélgica;3;25/05/2000
Defensa central;Robin Koch  ;Alemania;4;17/07/1996
Defensa central;Nnamdi Collins;Alemania;34;10/01/2004
Defensa central;Aurèle Amenda;Suiza;5;31/07/2003
Lateral izquierdo;Nathaniel Brown;Alemania;21;16/06/2003
Lateral izquierdo;Keita Kosugi;Japón;26;18/03/2006
Lateral derecho;Rasmus Kristensen ;Dinamarca;13;11/07/1997
Lateral derecho;Elias Baum;Alemania;2;26/10/2005
Lateral derecho;Timothy Chandler;Estados Unidos;22;29/03/1990
Pivote;Ellyes Skhiri;Túnez;15;10/05/1995
Mediocentro;Hugo Larsson;Suecia;16;27/06/2004
Mediocentro;Oscar Højlund;Dinamarca;6;04/01/2005
Mediocentro;Mahmoud Dahoud;Siria;18;01/01/1996
Mediocentro ofensivo;Can Uzun ;Turquía;42;11/11/2005
Mediocentro ofensivo;Farès Chaïbi;Argelia;8;28/11/2002
Mediocentro ofensivo;Love Arrhov;Suecia;31;17/05/2008
Mediocentro ofensivo;Mario Götze;Alemania;27;03/06/1992
Extremo izquierdo;Jean-Mattéo Bahoya;Francia;19;07/05/2005
Extremo derecho;Ritsu Doan;Japón;20;16/06/1998
Extremo derecho;Ansgar Knauff ;Alemania;7;10/01/2002
Extremo derecho;Ayoube Amaimouni-Echghouyab;Marruecos;29;30/11/2004
Delantero centro;Jonathan Burkardt;Alemania;9;11/07/2000
Delantero centro;Arnaud Kalimuendo;Francia;25;20/01/2002
Delantero centro;Younes Ebnoutalib ;Alemania;11;13/09/2003
Delantero centro;Michy Batshuayi ;Bélgica;30;02/10/1993
