pos;name;pais;num;edad
Portero;Finn Dahmen;Alemania;1;27/03/1998
Portero;Nediljko Labrovic;Croacia;22;10/10/1999
Portero;Daniel Klein;Alemania;25;13/03/2001
Defensa central;Chrislain Matsima ;Francia;5;15/05/2002
Defensa central;Noahkai Banks;Estados Unidos;40;01/12/2006
Defensa central;Keven Schlotterbeck;Alemania;31;28/04/1997
Defensa central;Cédric Zesiger;Suiza;16;24/06/1998
Defensa central;Arthur Chaves;Brasil;34;29/01/2001
Defensa central;Jeffrey Gouweleeuw  ;Países Bajos;6;10/07/1991
Defensa central;Felix Meiser;Alemania;41;16/01/2007
Lateral izquierdo;Dimitrios Giannoulis;Grecia;13;17/10/1995
Lateral izquierdo;Mads Pedersen;Dinamarca;3;01/09/1996
Lateral izquierdo;Oliver Sorg;Austria;43;31/07/2007
Lateral derecho;Marius Wolf;Alemania;27;27/05/1995
Pivote;Kristijan Jakic;Croacia;17;14/05/1997
Pivote;Robin Fellhauer;Alemania;19;21/01/1998
Pivote;Yannik Keitel;Alemania;14;15/02/2000
Pivote;Mahmut Kücüksahin;Turquía;42;07/04/2004
Mediocentro;Han-Noah Massengo;Francia;4;07/07/2001
Mediocentro;Elvis Rexhbecaj;Kosovo;8;01/11/1997
Interior derecho;Anton Kade;Alemania;30;17/01/2004
Mediocentro ofensivo;Alexis Claude-Maurice;Francia;20;06/06/1998
Mediocentro ofensivo;Mert Kömür;Alemania;36;17/07/2005
Mediocentro ofensivo;Fabian Rieder;Suiza;32;16/02/2002
Extremo izquierdo;Ismaël Gharbi;Túnez;11;10/04/2004
Delantero centro;Rodrigo Ribeiro;Portugal;21;28/04/2005
Delantero centro;Michael Gregoritsch;Austria;38;18/04/1994
Delantero centro;Uchenna Ogundu;Nigeria;39;12/05/2006
