pos;name;pais;num;edad
Portero;Diant Ramaj;Alemania;41;19/09/2001
Portero;Frank Feller;Alemania;40;07/01/2004
Portero;Paul Tschernuth;Austria;34;20/01/2002
Defensa central;Tim Siersleben;Alemania;4;09/03/2000
Defensa central;Benedikt Gimber;Alemania;5;19/02/1997
Defensa central;Patrick Mainka ;Alemania;6;06/11/1994
Defensa central;Adam Kölle;Alemania;28;28/04/2006
Lateral izquierdo;Jonas Föhrenbach;Alemania;19;26/01/1996
Lateral izquierdo;Leart Paçarada ;Kosovo;32;08/10/1994
Lateral izquierdo;Hennes Behrens;Alemania;26;19/01/2005
Lateral derecho;Leonidas Stergiou ;Suiza;25;03/03/2002
Lateral derecho;Omar Traoré;Alemania;23;04/02/1998
Lateral derecho;Marnon Busch ;Alemania;2;08/12/1994
Pivote;Niklas Dorsch;Alemania;30;15/01/1998
Pivote;Julian Niehues;Alemania;16;17/04/2001
Mediocentro;Jan Schöppner;Alemania;3;12/06/1999
Mediocentro;Luca Kerber;Alemania;20;10/03/2002
Mediocentro;Nick Rothweiler ;Alemania;33;16/06/2006
Mediocentro ofensivo;Arijon Ibrahimovic;Alemania;22;11/12/2005
Mediocentro ofensivo;Adrian Beck;Alemania;21;09/06/1997
Extremo izquierdo;Mathias Honsak;Austria;17;20/12/1996
Extremo izquierdo;Yannik Wagner;Alemania;38;09/05/2007
Extremo derecho;Eren Dinkçi;Turquía;8;13/12/2001
Extremo derecho;Sirlord Conteh;Alemania;31;09/07/1996
Extremo derecho;Christian Conteh;Alemania;10;27/08/1999
Delantero centro;Marvin Pieringer;Alemania;18;04/10/1999
Delantero centro;Mikkel Kaufmann;Dinamarca;29;03/01/2001
Delantero centro;Budu Zivzivadze;Georgia;11;10/03/1994
Delantero centro;Stefan Schimmer;Alemania;9;28/04/1994
