pos;name;pais;num;edad
Portero;Marvin Schwäbe ;Alemania;1;25/04/1995
Portero;Ron-Robert Zieler;Alemania;20;12/02/1989
Portero;Matthias Köbbing;Alemania;44;28/05/1997
Defensa central;Rav van den Berg;Países Bajos;33;07/07/2004
Defensa central;Jahmai Simpson-Pusey;Inglaterra;22;04/11/2005
Defensa central;Joël Schmied ;Suiza;2;23/09/1998
Defensa central;Timo Hübers ;Alemania;4;20/07/1996
Defensa central;Cenk Özkacar;Turquía;39;06/10/2000
Defensa central;Dominique Heintz;Alemania;3;15/08/1993
Defensa central;Luca Kilian ;Alemania;15;01/09/1999
Lateral izquierdo;Kristoffer Lund;Estados Unidos;32;14/05/2002
Lateral derecho;Sebastian Sebulonsen ;Noruega;28;27/01/2000
Pivote;Eric Martel;Alemania;6;29/04/2002
Pivote;Tom Krauß;Alemania;5;22/06/2001
Pivote;Fayssal Harchaoui;Alemania;34;15/01/2006
Mediocentro;Ísak Jóhannesson;Islandia;18;23/03/2003
Mediocentro;Denis Huseinbasic;Bosnia y Herzegovina;8;03/07/2001
Mediocentro;Felipe Chávez;Perú;27;10/04/2007
Interior derecho;Alessio Castro-Montes ;Bélgica;17;17/05/1997
Mediocentro ofensivo;Florian Kainz;Austria;11;24/10/1992
Extremo izquierdo;Said El Mala;Alemania;13;26/08/2006
Extremo izquierdo;Jakub Kaminski;Polonia;16;05/06/2002
Extremo izquierdo;Linton Maina ;Alemania;37;23/06/1999
Extremo izquierdo;Marius Bülter;Alemania;30;29/03/1993
Extremo derecho;Jan Thielmann ;Alemania;29;26/05/2002
Extremo derecho;Youssoupha Niang ;Alemania;38;25/03/2006
Delantero centro;Ragnar Ache;Alemania;9;28/07/1998
Delantero centro;Luca Waldschmidt;Alemania;7;19/05/1996
Delantero centro;Fynn Schenten;Alemania;40;14/09/2007
Delantero centro;Malek El Mala ;Alemania;19;02/04/2005
