pos;name;pais;num;edad
Portero;Nikola Vasilj;Bosnia y Herzegovina;22;02/12/1995
Portero;Ben Voll;Alemania;1;09/12/2000
Portero;Simon Spari ;Austria;30;16/06/2002
Portero;Emil Gazdov;Canadá;47;11/09/2003
Defensa central;Eric Smith;Suecia;8;08/01/1997
Defensa central;David Nemeth ;Austria;4;18/03/2001
Defensa central;Hauke Wahl;Alemania;5;15/04/1994
Defensa central;Tomoya Ando;Japón;15;10/01/1999
Defensa central;Adam Dzwigala;Polonia;25;25/09/1995
Defensa central;Karol Mets;Estonia;3;16/05/1993
Defensa central;Jannik Robatsch;Austria;34;28/12/2004
Lateral izquierdo;Louis Oppie;Alemania;23;17/05/2002
Lateral izquierdo;Lars Ritzka;Alemania;21;07/05/1998
Lateral derecho;Arkadiusz Pyrka;Polonia;11;20/09/2002
Lateral derecho;Manolis Saliakas;Grecia;2;12/09/1996
Lateral derecho;Fin Stevens;Gales;14;10/04/2003
Pivote;James Sands;Estados Unidos;6;06/07/2000
Pivote;Marwin Schmitz;Alemania;42;07/01/2007
Mediocentro;Joel Chima Fujita;Japón;16;16/02/2002
Mediocentro;Mathias Rasmussen;Noruega;20;25/11/1997
Mediocentro;Connor Metcalfe;Australia;24;05/11/1999
Mediocentro;Jackson Irvine ;Australia;7;07/03/1993
Mediocentro;Nick Schmidt;Japón;44;12/09/2007
Mediocentro ofensivo;Danel Sinani;Luxemburgo;10;05/04/1997
Extremo izquierdo;Mathias Pereira Lage;Portugal;28;30/11/1996
Delantero centro;Andréas Hountondji ;Benín;27;11/07/2002
Delantero centro;Martijn Kaars;Países Bajos;19;05/03/1999
Delantero centro;Taichi Hara;Japón;18;05/05/1999
Delantero centro;Ricky-Jade Jones ;Inglaterra;26;08/11/2002
Delantero centro;Abdoulie Ceesay;Gambia;9;05/01/2004
