pos;name;pais;num;edad
Portero;Frederik Rönnow;Dinamarca;1;04/08/1992
Portero;Matheo Raab ;Alemania;31;18/12/1998
Portero;Carl Klaus;Alemania;25;16/01/1994
Defensa central;Leopold Querfeld;Austria;14;20/12/2003
Defensa central;Danilho Doekhi;Países Bajos;5;30/06/1998
Defensa central;Diogo Leite ;Portugal;4;23/01/1999
Defensa central;Stanley Nsoki;Francia;34;09/04/1999
Lateral izquierdo;Tom Rothe ;Alemania;15;29/10/2004
Lateral izquierdo;Derrick Köhn;Ghana;39;04/02/1999
Lateral izquierdo;Andrik Markgraf;Alemania;3;07/03/2006
Lateral derecho;Josip Juranovic ;Croacia;18;16/08/1995
Lateral derecho;Christopher Trimmel ;Austria;28;24/02/1987
Pivote;Aljoscha Kemlein;Alemania;6;02/08/2004
Pivote;Rani Khedira;Alemania;8;27/01/1994
Mediocentro;András Schäfer;Hungría;13;13/04/1999
Mediocentro;Alex Král;República Checa;33;19/05/1998
Mediocentro;Janik Haberer;Alemania;19;02/04/1994
Interior izquierdo;Robert Skov ;Dinamarca;24;20/05/1996
Mediocentro ofensivo;Ilyas Ansah;Alemania;10;08/11/2004
Mediocentro ofensivo;Woo-yeong Jeong;Corea del Sur;11;20/09/1999
Extremo izquierdo;Livan Burcu;Turquía;9;28/09/2004
Extremo izquierdo;David Preu;Alemania;17;26/10/2004
Delantero centro;Andrej Ilic;Serbia;23;03/04/2000
Delantero centro;Oliver Burke;Escocia;7;07/04/1997
Delantero centro;Tim Skarke;Alemania;21;07/09/1996
Delantero centro;Dmytro Bogdanov;Ucrania;30;06/03/2007
