pos;name;pais;num;edad
Portero;Robin Zentner ;Alemania;27;28/10/1994
Portero;Lasse Rieß;Alemania;1;27/07/2001
Portero;Daniel Batz;Alemania;33;12/01/1991
Defensa central;Stefan Posch;Austria;4;14/05/1997
Defensa central;Andreas Hanche-Olsen ;Noruega;25;17/01/1997
Defensa central;Kacper Potulski;Polonia;48;19/10/2007
Defensa central;Dominik Kohr;Alemania;31;31/01/1994
Defensa central;Maxim Leitsch;Alemania;5;18/05/1998
Defensa central;Danny da Costa;Alemania;21;13/07/1993
Defensa central;Stefan Bell;Alemania;16;24/08/1991
Defensa central;Maxim Dal ;Alemania;47;26/01/2006
Lateral izquierdo;Phillipp Mwene;Austria;2;29/01/1994
Lateral izquierdo;Kasey Bos ;Australia;18;08/05/2004
Lateral derecho;Anthony Caci  ;Francia;19;01/07/1997
Lateral derecho;Silvan Widmer ;Suiza;30;05/03/1993
Pivote;Kaishu Sano;Japón;6;30/12/2000
Pivote;Lennard Maloney;Estados Unidos;15;08/10/1999
Pivote;Sota Kawasaki ;Japón;24;30/07/2001
Pivote;Niklas Tauer;Alemania;28;17/02/2001
Mediocentro;Nadiem Amiri ;Alemania;10;27/10/1996
Mediocentro;Daniel Gleiber;Alemania;42;01/02/2005
Interior derecho;Nikolas Veratschnig;Austria;22;24/01/2003
Mediocentro ofensivo;Paul Nebel;Alemania;8;10/10/2002
Mediocentro ofensivo;Jae-sung Lee;Corea del Sur;7;10/08/1992
Extremo izquierdo;Sheraldo Becker;Surinam;23;09/02/1995
Extremo derecho;Silas;RD del Congo;26;06/10/1998
Mediapunta;Armindo Sieb;Alemania;11;17/02/2003
Delantero centro;Nelson Weiper;Alemania;44;17/03/2005
Delantero centro;Benedict Hollerbach ;Alemania;17;17/05/2001
Delantero centro;William Bøving;Dinamarca;14;01/03/2003
Delantero centro;Phillip Tietz;Alemania;20;09/07/1997
