pos;name;pais;num;edad
Portero;Sander Tangvik;Noruega;12;29/11/2002
Portero;Daniel Heuer Fernandes;Portugal;1;13/11/1992
Portero;Hannes Hermann;Alemania;40;23/03/2005
Portero;Fernando Dickes;Alemania;41;13/10/2007
Defensa central;Luka Vuskovic;Croacia;44;24/02/2007
Defensa central;Jordan Torunarigha;Nigeria;25;07/08/1997
Defensa central;Daniel Elfadli;Libia;8;06/04/1997
Defensa central;Warmed Omari;Comoras;17;23/04/2000
Defensa central;Shafiq Nandja;Alemania;43;15/01/2007
Lateral izquierdo;Miro Muheim;Suiza;28;24/03/1998
Lateral izquierdo;Noah Katterbach;Alemania;3;13/04/2001
Lateral izquierdo;Louis Lemke;Alemania;37;08/10/2009
Lateral derecho;Giorgi Gocholeishvili;Georgia;16;14/02/2001
Lateral derecho;William Mikelbrencis;Francia;2;25/02/2004
Pivote;Nicolai Remberg;Alemania;21;19/06/2000
Mediocentro;Albert Sambi Lokonga ;Bélgica;6;22/10/1999
Mediocentro;Nicolás Capaldo;Argentina;24;14/09/1998
Mediocentro ofensivo;Fábio Vieira;Portugal;20;30/05/2000
Mediocentro ofensivo;Albert Grønbaek ;Dinamarca;23;23/05/2001
Mediocentro ofensivo;Omar Megeed;Egipto;39;19/08/2005
Extremo izquierdo;Philip Otele;Nigeria;27;15/04/1999
Extremo izquierdo;Alexander Røssing-Lelesiit ;Noruega;38;20/01/2007
Extremo izquierdo;Jean-Luc Dompé;Francia;7;12/08/1995
Extremo izquierdo;Fábio Baldé;Portugal;45;20/07/2005
Extremo derecho;Rayan Philippe;Francia;14;23/10/2000
Extremo derecho;Bakery Jatta;Gambia;18;06/06/1998
Delantero centro;Damion Downs;Estados Unidos;19;06/07/2004
Delantero centro;Ransford Königsdörffer;Ghana;11;13/09/2001
Delantero centro;Otto Stange;Alemania;49;09/02/2007
Delantero centro;Robert Glatzel;Alemania;9;08/01/1994
Delantero centro;Yussuf Poulsen ;Dinamarca;15;15/06/1994
